target_class,viewpoint,elevation,radius,azimuth,scene_count,sample_count,mean_target_ap50_95,mean_target_strict_quality_iou50,mean_target_match_confidence_iou50,target_visible_rate,target_detected_rate
male,elmid-radnear-az180,mid,near,180,3,3,0.6083333333333333,0.7067096517772811,0.8462613821029663,1.0,1.0
male,elhigh-radnear-az045,high,near,45,4,4,0.6234127049260433,0.702511349783487,0.8427736610174179,1.0,1.0
male,elhigh-radmid-az000,high,mid,0,6,6,0.6919444469238321,0.6994627821319988,0.8265907367070516,1.0,1.0
male,elmid-radfar-az180,mid,far,180,3,3,0.6080952429771423,0.6959665806449635,0.8226755857467651,1.0,1.0
male,elhigh-radnear-az180,high,near,180,4,4,0.7083333333488554,0.691011890421815,0.8083861768245697,1.0,1.0
male,elmid-radfar-az270,mid,far,270,4,4,0.7330357143655419,0.6900795377309423,0.8150363713502884,1.0,1.0
male,ellow-radfar-az135,low,far,135,3,3,0.69141865093261,0.6807112104460972,0.8030211726824442,1.0,1.0
male,elmid-radmid-az225,mid,mid,225,2,2,0.7208333358168602,0.6802014440096489,0.832384467124939,1.0,1.0
male,elmid-radmid-az090,mid,mid,90,1,1,0.7777777803026968,0.6688220755469736,0.810693085193634,1.0,1.0
male,elhigh-radmid-az045,high,mid,45,3,3,0.6435185192911713,0.66751267038617,0.8169388572374979,1.0,1.0
male,elmid-radmid-az135,mid,mid,135,3,3,0.6666666669150194,0.6673486129843637,0.8374906182289124,1.0,1.0
male,elhigh-radfar-az180,high,far,180,2,2,0.6388888951804903,0.6628211632314542,0.8520748913288116,1.0,1.0
male,elhigh-radnear-az225,high,near,225,1,1,0.7,0.6608734653379855,0.7839705348014832,1.0,1.0
male,elhigh-radmid-az315,high,mid,315,3,3,0.7518518526245046,0.6600189605276121,0.7907596230506897,1.0,1.0
male,elhigh-radfar-az090,high,far,90,2,2,0.65,0.6584512890021816,0.8022303283214569,1.0,1.0
male,elhigh-radnear-az315,high,near,315,4,4,0.5747222269119487,0.6507305364175346,0.7939440906047821,1.0,1.0
male,elhigh-radmid-az225,high,mid,225,3,3,0.6979166666666666,0.6452405977421828,0.7668880224227905,1.0,1.0
male,elmid-radfar-az045,mid,far,45,5,5,0.5888888927531385,0.6427985845588303,0.7828091979026794,1.0,1.0
male,elhigh-radnear-az090,high,near,90,4,4,0.6065972231121527,0.64083667935384,0.8085101395845413,1.0,1.0
male,elhigh-radmid-az270,high,mid,270,5,5,0.6199999999999999,0.6361357078461921,0.8005913734436035,1.0,1.0
male,elhigh-radfar-az225,high,far,225,2,2,0.7,0.6340267259905268,0.7648619115352631,1.0,1.0
male,elhigh-radfar-az135,high,far,135,1,1,0.5846428584307433,0.6319793962197977,0.7465832829475403,1.0,1.0
male,elmid-radfar-az315,mid,far,315,4,4,0.6577777790112629,0.6111016711430306,0.7541188299655914,1.0,1.0
male,elhigh-radnear-az135,high,near,135,4,4,0.5647916671819985,0.6101379317123747,0.796686977148056,1.0,1.0
male,elhigh-radfar-az045,high,far,45,5,5,0.6343055579927233,0.6099477874467063,0.7728967070579529,1.0,1.0
male,elhigh-radmid-az090,high,mid,90,6,6,0.6219907421135792,0.6067059515297171,0.7880739669005076,1.0,1.0
male,elhigh-radfar-az315,high,far,315,1,1,0.46111111326350107,0.5917906038643466,0.8303738236427307,1.0,1.0
male,elmid-radfar-az135,mid,far,135,2,2,0.5,0.5911336245047814,0.8003329932689667,1.0,1.0
male,ellow-radmid-az090,low,mid,90,4,4,0.37911706723804983,0.5633462058672194,0.6511315107345581,0.75,0.75
male,ellow-radfar-az315,low,far,315,5,5,0.625,0.559029443500237,0.6398328542709351,0.8,0.8
male,ellow-radfar-az090,low,far,90,5,5,0.48981481559022705,0.519573578490428,0.6288095712661743,0.8,0.8
male,elhigh-radfar-az270,high,far,270,1,1,0.340000005364418,0.5010737586564886,0.7906773090362549,1.0,1.0
male,elhigh-radnear-az270,high,near,270,4,4,0.5250000017695129,0.49509224311390104,0.6093408570741303,1.0,1.0
male,ellow-radmid-az225,low,mid,225,3,3,0.41898148317165945,0.49481191102785144,0.5905095140139262,0.6666666666666666,0.6666666666666666
male,ellow-radfar-az225,low,far,225,6,6,0.4936111126943595,0.47326314259233904,0.559822658697764,0.8333333333333334,0.8333333333333334
male,ellow-radfar-az270,low,far,270,4,4,0.47291666772216556,0.4542577817292619,0.5764230936765671,0.75,0.75
male,elhigh-radfar-az000,high,far,0,2,2,0.35833333507180215,0.4236196419800664,0.5055620148777962,1.0,1.0
rock,elmid-radnear-az225,mid,near,225,2,2,1.0,0.9721682787641548,0.9816651940345764,1.0,1.0
rock,elmid-radnear-az045,mid,near,45,6,6,0.9831018521691913,0.9700416650414514,0.979073146979014,1.0,1.0
rock,elmid-radnear-az315,mid,near,315,5,5,0.9820833340287208,0.9697772295293638,0.9791197538375854,1.0,1.0
rock,elmid-radnear-az090,mid,near,90,1,1,1.0,0.9672048290938022,0.9773679971694946,1.0,1.0
rock,elmid-radmid-az090,mid,mid,90,2,2,0.9250000014901161,0.9658095408870953,0.9778084456920624,1.0,1.0
rock,ellow-radnear-az225,low,near,225,5,5,0.6617632072661179,0.964095642058792,0.9777905583381653,1.0,1.0
rock,elmid-radnear-az000,mid,near,0,2,2,0.920052083581686,0.9637174415493988,0.9745705127716064,1.0,1.0
rock,elmid-radnear-az270,mid,near,270,2,2,0.8700000070354768,0.9635006049696759,0.9790245592594147,1.0,1.0
rock,elhigh-radmid-az180,high,mid,180,2,2,0.7995833377353847,0.9633627645902774,0.9692538976669312,1.0,1.0
rock,ellow-radnear-az000,low,near,0,3,3,0.9470588257304984,0.9629368197428244,0.9752246737480164,1.0,1.0
rock,elmid-radnear-az135,mid,near,135,4,4,0.915625,0.962637858224558,0.9771647453308105,1.0,1.0
rock,elhigh-radnear-az270,high,near,270,3,3,0.9930555555969477,0.9622185587341718,0.9774206082026163,1.0,1.0
rock,elhigh-radnear-az090,high,near,90,3,3,0.8944444514976607,0.9618795772098956,0.9789913495381674,1.0,1.0
rock,elhigh-radmid-az000,high,mid,0,3,3,0.9844920640067448,0.9618348312571499,0.9770137667655945,1.0,1.0
rock,elhigh-radnear-az000,high,near,0,4,4,0.9307692351106267,0.9614475995011471,0.9742056876420975,1.0,1.0
rock,ellow-radnear-az135,low,near,135,4,4,0.9164102559312223,0.9613746145808841,0.9751457422971725,1.0,1.0
rock,elmid-radmid-az045,mid,mid,45,3,3,0.9896296302698278,0.9612401200934393,0.9723636706670126,1.0,1.0
rock,elhigh-radmid-az270,high,mid,270,2,2,0.9460069386495483,0.9602969834272699,0.9734435379505157,1.0,1.0
rock,elmid-radnear-az180,mid,near,180,3,3,1.0,0.9599650451788465,0.97620556751887,1.0,1.0
rock,elhigh-radnear-az180,high,near,180,3,3,0.9052083334575096,0.9591815967051526,0.9737730622291565,1.0,1.0
