target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
barrel,ellow-radnear-az045 + elmid-radnear-az090,ellow-radnear-az045,elmid-radnear-az090,5,0.8480000043539773,0.9193749999999999,0.9193749999999999,0.9193749999999999,0.0,0.897234036022639,0.8585081038688372,0.9007285904779401,0.897234036022639,0.003494554455301113,0.9467213988304138,0.9153820037841797,0.9491563558578491,0.9467213988304138,0.002434957027435236,0.8,0.2,0.0
male,elhigh-radnear-az270 + ellow-radfar-az225,elhigh-radnear-az270,ellow-radfar-az225,4,0.7270833341404795,0.7602083359720806,0.8645833341404796,0.7602083359720806,0.10437499816839901,0.6366917050909944,0.8132767636219889,0.8167705029569685,0.8132767636219889,0.003493739334979651,0.681985582516063,0.874087318778038,0.88045434653759,0.874087318778038,0.006367027759552002,0.25,0.75,0.0
barrel,elhigh-radmid-az000 + elmid-radmid-az090,elhigh-radmid-az000,elmid-radmid-az090,5,0.9376000001668929,0.8687111136290762,0.9576000001668931,0.9376000001668929,0.02000000000000013,0.9034688513178025,0.9191683633307249,0.922651336585384,0.9191683633307249,0.003482973254659072,0.9462739109992981,0.9471572756767273,0.949085807800293,0.9471572756767273,0.001928532123565696,0.4,0.6,0.0
male,elhigh-radfar-az225 + elmid-radmid-az225,elhigh-radfar-az225,elmid-radmid-az225,4,0.8151001015758585,0.8903737151351843,0.9064226462586296,0.8903737151351843,0.016048931123445298,0.8432421508886083,0.8844626883294255,0.8879419501553754,0.8844626883294255,0.00347926182594982,0.9048627018928528,0.9298120886087418,0.9298120886087418,0.9298120886087418,0.0,0.25,0.75,0.0
container,elhigh-radmid-az045 + elmid-radmid-az135,elhigh-radmid-az045,elmid-radmid-az135,3,0.8814814826956502,0.9842592603078595,0.9925925931444874,0.9842592603078595,0.00833333283662796,0.9421467337563847,0.9452168025176775,0.9486665205811704,0.9452168025176775,0.0034497180634929236,0.9615351955095927,0.9659157991409302,0.966085414091746,0.9659157991409302,0.00016961495081579958,0.6666666666666666,0.3333333333333333,0.0
rock,elhigh-radmid-az315 + ellow-radmid-az270,elhigh-radmid-az315,ellow-radmid-az270,2,1.0,0.8479166682809591,1.0,1.0,0.0,0.946819874203614,0.9479011556841019,0.9513491282139555,0.9479011556841019,0.0034479725298535158,0.9721027910709381,0.9618921875953674,0.9721027910709381,0.9721027910709381,0.0,0.5,0.5,0.0
barrel,elhigh-radnear-az270 + elmid-radfar-az090,elhigh-radnear-az270,elmid-radfar-az090,4,0.925,0.93125,0.95,0.93125,0.018749999999999933,0.86288059326235,0.8895210055308711,0.8929642576206005,0.8895210055308711,0.0034432520897293983,0.9269690811634064,0.9303403496742249,0.937925860285759,0.9303403496742249,0.007585510611534119,0.25,0.75,0.0
barrel,ellow-radmid-az000 + elmid-radfar-az225,ellow-radmid-az000,elmid-radfar-az225,4,0.7624722278320956,0.8677131394194405,0.8820208363644779,0.8677131394194405,0.014307696945037418,0.900925954658927,0.8873621600897943,0.9043619399004541,0.900925954658927,0.0034359852415271064,0.9470222145318985,0.9386514723300934,0.9470222145318985,0.9470222145318985,0.0,0.75,0.25,0.0
male,elhigh-radmid-az045 + elmid-radmid-az225,elhigh-radmid-az045,elmid-radmid-az225,4,0.93125,0.8807291679084301,0.93125,0.93125,0.0,0.9055148614108663,0.8695460254449419,0.9089431406457535,0.9055148614108663,0.0034282792348871993,0.9397367686033249,0.9366491287946701,0.9441179782152176,0.9397367686033249,0.0043812096118927,0.5,0.5,0.0
suv,ellow-radmid-az045 + ellow-radnear-az135,ellow-radmid-az045,ellow-radnear-az135,5,0.5656000028192997,0.8752537547579488,0.881988889837265,0.8752537547579488,0.0067351350793162235,0.7680850942908265,0.9633855818516885,0.9668126638227982,0.9633855818516885,0.0034270819711096356,0.7759586095809936,0.979718804359436,0.9815265536308289,0.979718804359436,0.0018077492713928223,0.2,0.8,0.0
