target_class,viewpoint,pair_stage_observation_count,third_stage_observation_count,pair_stage_scene_support,third_stage_scene_support,pair_stage_mean_marginal_target_ap50_95,third_stage_mean_marginal_target_ap50_95,combined_marginal_target_ap50_95,pair_stage_mean_marginal_target_strict_quality_iou50,third_stage_mean_marginal_target_strict_quality_iou50,combined_marginal_target_strict_quality_iou50
container,ellow-radfar-az090,24,156,105,220,0.03539077487540343,0.0017666968182684529,0.01857873584683594,0.01501397844795944,0.0001585353583914962,0.007586256903175468
container,ellow-radfar-az045,22,174,85,240,0.03346900890327487,0.0012837276222165542,0.017376368262745714,0.014095538066361728,0.0009984701970759064,0.007547004131718818
container,elhigh-radfar-az045,26,177,168,304,0.07918585191711992,0.015517498189251426,0.047351675053185674,0.012256621018307969,0.002373733295927747,0.007315177157117858
container,ellow-radmid-az135,5,35,22,46,0.03542491836601125,0.013837867867108646,0.024631393116559947,0.009320222317548078,0.004859086052674821,0.0070896541851114495
container,elmid-radfar-az045,14,122,73,210,0.07741309286061471,0.005513831205736016,0.041463462033175365,0.01328280031822884,0.0004782725571975622,0.006880536437713201
container,elhigh-radfar-az090,34,291,162,457,0.05865450357404017,0.006619923277086778,0.03263721342556348,0.01138738434177254,0.002284205905093296,0.006835795123432918
container,elhigh-radmid-az270,13,109,59,165,0.04292323769704636,0.007759518937155074,0.02534137831710072,0.009190147919630114,0.0037731025130597505,0.006481625216344933
container,elhigh-radnear-az000,27,259,154,421,0.059891938833832474,0.00636885937251412,0.033130399103173294,0.009104211934780183,0.0025734368144617785,0.005838824374620981
container,ellow-radmid-az225,8,36,38,49,0.030344458438819957,0.0,0.015172229219409979,0.009111782009996794,0.002364412854281147,0.005738097432138971
container,elhigh-radfar-az000,28,238,142,401,0.050938742542310504,0.011529692978318995,0.03123421776031475,0.010050278082166417,0.0011736842711259146,0.005611981176646166
container,ellow-radfar-az270,7,76,42,132,0.03826335596006947,0.0025855884652614724,0.02042447221266547,0.0067505160984039836,0.0005923042340909918,0.0036714101662474875
container,ellow-radfar-az315,6,34,29,53,0.055571456603859794,0.009705573919349328,0.032638515261604564,0.006903515021761379,0.00017509566611368147,0.0035393053439375303
container,elhigh-radfar-az270,10,75,51,110,0.061502567972401924,0.013043763463250455,0.03727316571782619,0.005853453353207816,0.0007953040202741354,0.003324378686740976
container,ellow-radfar-az180,17,173,70,275,0.01228916612469018,0.001603761519571802,0.006946463822130992,0.0045363086417331555,0.0014779693769317434,0.0030071390093324496
container,elmid-radfar-az135,5,42,24,72,0.06617711977917204,0.014852248092074563,0.040514683935623304,0.004015135449604745,0.00027299553058620534,0.002144065490095475
male,ellow-radnear-az045,4,119,20,187,0.19660008266604753,0.052018387428580885,0.12430923504731421,0.15631831500201698,0.05730847822280255,0.10681339661240977
male,ellow-radnear-az135,6,127,32,196,0.08028673374923966,0.06804178591653273,0.07416425983288619,0.07828981057781985,0.10032330262764738,0.08930655660273362
male,ellow-radnear-az090,9,143,45,227,0.10911586782798012,0.07505905240072784,0.09208746011435398,0.08035578286388921,0.09206182925259156,0.08620880605824038
male,elmid-radmid-az225,11,179,37,231,0.12893451039614864,0.0657801302633942,0.09735732032977143,0.10387495778235876,0.039497150098097546,0.07168605394022816
male,ellow-radnear-az315,8,88,34,132,0.05787396032251023,0.016806182760278118,0.037340071541394175,0.10728904957498366,0.031194625077652405,0.06924183732631803
male,ellow-radnear-az270,16,145,72,221,0.09606477346234979,0.10844579550247492,0.10225528448241236,0.06046680217121287,0.07783518242817092,0.06915099229969189
male,ellow-radnear-az180,3,49,21,111,0.10228032849359492,0.05855430874387918,0.08041731861873705,0.08525272949476885,0.047186825224000084,0.06621977735938447
male,ellow-radnear-az225,3,99,12,151,0.134810604140399,0.12232298135532269,0.12856679274786084,0.054689913358516994,0.07277232749477296,0.06373112042664497
male,elmid-radnear-az090,9,294,38,447,0.14000294417843037,0.057121929912569695,0.09856243704550004,0.08431551614446947,0.037191892498864815,0.06075370432166714
male,elmid-radfar-az225,3,89,20,168,0.10762079053582511,0.12981262202435512,0.11871670628009012,0.07220896411058808,0.04693611346885415,0.059572538789721116
male,elmid-radfar-az270,16,345,51,471,0.11217361962765583,0.09639364967072042,0.10428363464918813,0.0742213529720342,0.043286676508461956,0.05875401474024808
male,ellow-radmid-az135,16,128,81,185,0.12569517654394952,0.09478134276332338,0.11023825965363646,0.07372283889543775,0.040795366957967934,0.057259102926702846
male,elmid-radnear-az225,2,33,7,42,0.08927951359914399,0.03963443859202137,0.06445697609558268,0.05100089947730568,0.06054789901725553,0.05577439924728061
male,ellow-radnear-az000,3,58,13,87,0.06555676613675632,0.01757690237055434,0.04156683425365533,0.06550412218709174,0.03936315688428383,0.05243363953568779
male,ellow-radmid-az045,7,220,37,354,0.10461175792934203,0.04473141519159309,0.07467158656046756,0.054848542296178526,0.049002553730008544,0.051925548013093535
