target_class,viewpoint_pair,viewpoint_1,viewpoint_2,scene_count,mean_viewpoint_1_target_ap50_95,mean_viewpoint_2_target_ap50_95,expected_pair_or_target_ap50_95,best_single_target_ap50_95_on_matched_scenes,pair_complementarity_gain_target_ap50_95,mean_viewpoint_1_target_strict_quality_iou50,mean_viewpoint_2_target_strict_quality_iou50,expected_pair_or_target_strict_quality_iou50,best_single_target_strict_quality_iou50_on_matched_scenes,pair_complementarity_gain_target_strict_quality_iou50,mean_viewpoint_1_target_match_confidence_iou50,mean_viewpoint_2_target_match_confidence_iou50,expected_pair_or_target_match_confidence_iou50,best_single_target_match_confidence_iou50_on_matched_scenes,pair_complementarity_gain_target_match_confidence_iou50,viewpoint_1_scene_win_rate,viewpoint_2_scene_win_rate,tie_rate
barrel,elhigh-radmid-az225 + elhigh-radnear-az225,elhigh-radmid-az225,elhigh-radnear-az225,8,0.8862035691517453,0.8963151936305057,0.9339308395749824,0.8963151936305057,0.03761564594447664,0.8907385711608184,0.8890106824631054,0.8993604646498121,0.8907385711608184,0.00862189348899367,0.9401764795184135,0.9436797499656677,0.9451896995306015,0.9436797499656677,0.0015099495649337769,0.5,0.5,0.0
barrel,ellow-radnear-az180 + elmid-radnear-az180,ellow-radnear-az180,elmid-radnear-az180,8,0.8223974122303641,0.9905691966680543,0.9905691966680543,0.9905691966680543,0.0,0.9331226747305497,0.9336030109155069,0.9422050009053065,0.9336030109155069,0.008601989989799552,0.960941806435585,0.9574892371892929,0.9635765999555588,0.960941806435585,0.002634793519973755,0.375,0.625,0.0
container,elhigh-radfar-az315 + elmid-radmid-az270,elhigh-radfar-az315,elmid-radmid-az270,8,0.9604952496801346,0.8945013769954903,0.9604952496801346,0.9604952496801346,0.0,0.927380763502736,0.9284243885940695,0.9369811115469449,0.9284243885940695,0.00855672295287535,0.9570987075567245,0.9646308496594429,0.9652637243270874,0.9646308496594429,0.0006328746676445007,0.5,0.5,0.0
container,ellow-radfar-az270 + elmid-radfar-az180,ellow-radfar-az270,elmid-radfar-az180,8,0.6324623474276824,0.7942901733688472,0.8481686954363249,0.7942901733688472,0.053878522067477674,0.7411812197717405,0.8421874199259083,0.850603080974992,0.8421874199259083,0.008415661049083756,0.7940813079476357,0.9064857214689255,0.9131107404828072,0.9064857214689255,0.006625019013881683,0.375,0.625,0.0
container,elhigh-radmid-az000 + elmid-radmid-az180,elhigh-radmid-az000,elmid-radmid-az180,8,0.9004843759015202,0.8788983618124008,0.9278583834871709,0.9004843759015202,0.027374007585650673,0.8718444074578504,0.8828310000892361,0.8910224979116244,0.8828310000892361,0.00819149782238826,0.9157877564430237,0.9319449067115784,0.9337871298193932,0.9319449067115784,0.0018422231078147888,0.375,0.625,0.0
barrel,ellow-radnear-az000 + elmid-radnear-az270,ellow-radnear-az000,elmid-radnear-az270,8,0.9343750020721927,0.9289930560108688,0.975,0.9343750020721927,0.04062499792780727,0.921964206589375,0.9027893561606839,0.9301079558631193,0.921964206589375,0.008143749273744394,0.9495848789811134,0.951766736805439,0.9562905207276344,0.951766736805439,0.004523783922195435,0.5,0.5,0.0
container,elmid-radmid-az000 + elmid-radnear-az045,elmid-radmid-az000,elmid-radnear-az045,9,0.8942681146895732,0.8954963162636417,0.9472423918542836,0.8954963162636417,0.05174607559064193,0.9268536533325924,0.935856162003364,0.9439411029724959,0.935856162003364,0.008084940969131926,0.9582150313589308,0.9660690228144327,0.9691332379976908,0.9660690228144327,0.0030642151832580566,0.3333333333333333,0.6666666666666666,0.0
barrel,elhigh-radfar-az000 + elmid-radmid-az270,elhigh-radfar-az000,elmid-radmid-az270,10,0.9148863647200844,0.9270738637447357,0.97625,0.9270738637447357,0.04917613625526429,0.8931686280900489,0.9217347577588846,0.9297913128938514,0.9217347577588846,0.008056555134966836,0.9327214300632477,0.9542256116867065,0.9556033790111542,0.9542256116867065,0.0013777673244477207,0.2,0.8,0.0
container,elhigh-radmid-az225 + ellow-radmid-az315,elhigh-radmid-az225,ellow-radmid-az315,8,0.9347916685976088,0.9051273182269854,0.9599652796983719,0.9347916685976088,0.025173611100763105,0.943437523379778,0.9450970585250529,0.9531226009300497,0.9450970585250529,0.008025542404996866,0.9681370556354523,0.9652961045503616,0.9715198576450348,0.9681370556354523,0.0033828020095825195,0.5,0.5,0.0
container,ellow-radnear-az000 + elmid-radfar-az000,ellow-radnear-az000,elmid-radfar-az000,8,0.8979044130683749,0.8940533439913635,0.9382484244648367,0.8979044130683749,0.04034401139646182,0.9371819040510787,0.9321054091887597,0.9451499336630969,0.9371819040510787,0.007968029612018146,0.9638183936476707,0.96036546677351,0.9672353491187096,0.9638183936476707,0.0034169554710388184,0.75,0.25,0.0
rock,ellow-radmid-az315 + elmid-radnear-az135,ellow-radmid-az315,elmid-radnear-az135,9,0.8389683637305124,0.8774565482593777,0.93123355250034,0.8774565482593777,0.05377700424096232,0.9363370638865613,0.948890436664732,0.9568408755659014,0.948890436664732,0.00795043890116931,0.9685270124011569,0.9724293880992465,0.9748578601413302,0.9724293880992465,0.0024284720420837402,0.3333333333333333,0.6666666666666666,0.0
rock,ellow-radnear-az090 + elmid-radnear-az135,ellow-radnear-az090,elmid-radnear-az135,8,0.9093931287326565,0.916375556824424,0.9652270420319116,0.916375556824424,0.04885148520748761,0.954199998972487,0.9522949078319041,0.9621040673004755,0.954199998972487,0.007904068327988512,0.9720081239938736,0.9717889800667763,0.976444385945797,0.9720081239938736,0.00443626195192337,0.625,0.375,0.0
barrel,elhigh-radfar-az225 + elmid-radmid-az270,elhigh-radfar-az225,elmid-radmid-az270,11,0.904875000143593,0.895075758027308,0.9234848489363988,0.904875000143593,0.018609848792805805,0.8783435007345733,0.8940320199526087,0.9017948051502335,0.8940320199526087,0.007762785197624744,0.923431320623918,0.9427617571570657,0.9437473633072593,0.9427617571570657,0.0009856061501936075,0.36363636363636365,0.6363636363636364,0.0
barrel,elhigh-radmid-az000 + elmid-radmid-az000,elhigh-radmid-az000,elmid-radmid-az000,11,0.8764511191123535,0.8446642630913775,0.9198854618844231,0.8764511191123535,0.04343434277206959,0.8553734173274333,0.8809106214010263,0.8886690495108382,0.8809106214010263,0.007758428109811977,0.9169109030203386,0.931825188073245,0.933133759281852,0.931825188073245,0.0013085712086070567,0.18181818181818182,0.8181818181818182,0.0
barrel,elhigh-radfar-az270 + elhigh-radnear-az225,elhigh-radfar-az270,elhigh-radnear-az225,8,0.9524062501043081,0.9375,0.9688125001043082,0.9524062501043081,0.016406250000000067,0.8933718679278222,0.9023887385878693,0.9101410006672137,0.9023887385878693,0.00775226207934443,0.9337525442242622,0.9492882117629051,0.9495949372649193,0.9492882117629051,0.00030672550201416016,0.375,0.625,0.0
barrel,elmid-radmid-az270 + elmid-radmid-az315,elmid-radmid-az270,elmid-radmid-az315,11,0.9011146388372873,0.9524451237672646,0.9563908309884884,0.9524451237672646,0.003945707221223782,0.911793664866017,0.8999587246104798,0.9194037097313502,0.911793664866017,0.007610044865333232,0.9490039186044172,0.951920520175587,0.953382903879339,0.951920520175587,0.0014623837037519571,0.45454545454545453,0.5454545454545454,0.0
barrel,elmid-radnear-az045 + elmid-radnear-az225,elmid-radnear-az045,elmid-radnear-az225,8,0.9053323404124332,0.765774740497323,0.9239087288874009,0.9053323404124332,0.018576388474967787,0.9102099219441766,0.7783429020040797,0.917786106345079,0.9102099219441766,0.007576184400902353,0.9469306841492653,0.818789005279541,0.9481369107961655,0.9469306841492653,0.001206226646900177,0.375,0.625,0.0
barrel,ellow-radfar-az315 + elmid-radnear-az090,ellow-radfar-az315,elmid-radnear-az090,10,0.6752602896434869,0.9035426771511096,0.9135426771511096,0.9035426771511096,0.010000000000000009,0.6169944698230639,0.8806388984472001,0.8881555648754478,0.8806388984472001,0.007516666428247665,0.6459567621350288,0.9351093649864197,0.9358085751533508,0.9351093649864197,0.0006992101669310857,0.3,0.7,0.0
barrel,ellow-radnear-az225 + elmid-radnear-az135,ellow-radnear-az225,elmid-radnear-az135,10,0.8475245774239939,0.9497500000149012,0.9723333333805204,0.9497500000149012,0.02258333336561924,0.9332802646342901,0.9153772874630647,0.9406140578025937,0.9332802646342901,0.007333793168303515,0.9634177029132843,0.9465018510818481,0.964789092540741,0.9634177029132843,0.0013713896274566428,0.6,0.4,0.0
barrel,elhigh-radfar-az045 + elhigh-radmid-az000,elhigh-radfar-az045,elhigh-radmid-az000,10,0.8323990637674777,0.8644302378652006,0.8946808094711617,0.8644302378652006,0.03025057160596112,0.8169805677234361,0.8399566074826161,0.8472894354954394,0.8399566074826161,0.007332828012823311,0.8979307353496552,0.9094510495662689,0.9140495419502258,0.9094510495662689,0.004598492383956931,0.4,0.6,0.0
container,ellow-radmid-az315 + elmid-radmid-az000,ellow-radmid-az315,elmid-radmid-az000,9,0.9361967211398002,0.8762425484042454,0.9555416284384446,0.9361967211398002,0.019344907298644354,0.9236712999285994,0.9204490384499316,0.9309928914763385,0.9236712999285994,0.007321591547739037,0.9540645480155945,0.9575842354032729,0.9610370927386813,0.9575842354032729,0.0034528573354084546,0.5555555555555556,0.4444444444444444,0.0
barrel,elhigh-radfar-az180 + elmid-radfar-az225,elhigh-radfar-az180,elmid-radfar-az225,8,0.8350694476523333,0.8956709959544241,0.9395089286845177,0.8956709959544241,0.04383793273009362,0.8797027882672568,0.8772417179837517,0.886983162423681,0.8797027882672568,0.007280374156424241,0.9266217425465584,0.9299710243940353,0.9322176724672318,0.9299710243940353,0.002246648073196411,0.375,0.625,0.0
barrel,elhigh-radfar-az315 + elhigh-radmid-az225,elhigh-radfar-az315,elhigh-radmid-az225,9,0.9423071804436637,0.9388027216711011,0.961333585942218,0.9423071804436637,0.019026405498554277,0.8990499350570261,0.9019923068638273,0.9091891019867187,0.9019923068638273,0.007196795122891397,0.9343937304284837,0.9454428553581238,0.9460968573888143,0.9454428553581238,0.0006540020306905481,0.5555555555555556,0.4444444444444444,0.0
barrel,elhigh-radmid-az000 + elmid-radnear-az000,elhigh-radmid-az000,elmid-radnear-az000,9,0.9248456792377028,0.8930555584668008,0.9643518526245047,0.9248456792377028,0.03950617338680196,0.8814171014438187,0.9033986773341671,0.9104416467429333,0.9033986773341671,0.007042969408766142,0.9301360779338412,0.9530941512849596,0.9530941512849596,0.9530941512849596,0.0,0.1111111111111111,0.8888888888888888,0.0
