target_class,viewpoint_triple,viewpoint_1,viewpoint_2,viewpoint_3,scene_count,expected_pair_12_target_ap50_95,expected_pair_13_target_ap50_95,expected_pair_23_target_ap50_95,expected_best_pair_target_ap50_95_on_matched_scenes,best_pair_for_target_ap50_95,expected_triple_or_target_ap50_95,third_view_gain_target_ap50_95,expected_pair_12_target_strict_quality_iou50,expected_pair_13_target_strict_quality_iou50,expected_pair_23_target_strict_quality_iou50,expected_best_pair_target_strict_quality_iou50_on_matched_scenes,best_pair_for_target_strict_quality_iou50,expected_triple_or_target_strict_quality_iou50,third_view_gain_target_strict_quality_iou50
male,elhigh-radmid-az000 + ellow-radmid-az000 + elmid-radmid-az270,elhigh-radmid-az000,ellow-radmid-az000,elmid-radmid-az270,3,0.867407408411856,0.9340740750785228,0.9333333333333332,0.9340740750785228,elhigh-radmid-az000 + elmid-radmid-az270,0.9340740750785228,0.0,0.8840958559547367,0.8952389663342414,0.8988265091111778,0.8988265091111778,ellow-radmid-az000 + elmid-radmid-az270,0.8988265091111778,0.0
barrel,elhigh-radfar-az045 + elhigh-radmid-az000 + elhigh-radnear-az225,elhigh-radfar-az045,elhigh-radmid-az000,elhigh-radnear-az225,3,0.88226936192364,0.9674545467224989,0.9666193080359617,0.9674545467224989,elhigh-radfar-az045 + elhigh-radnear-az225,0.9674545467224989,0.0,0.8688052548169267,0.8958205213767106,0.8985939622341282,0.8985939622341282,elhigh-radmid-az000 + elhigh-radnear-az225,0.8985939622341282,0.0
barrel,ellow-radfar-az000 + ellow-radmid-az090 + elmid-radmid-az000,ellow-radfar-az000,ellow-radmid-az090,elmid-radmid-az000,4,0.8871527794334624,0.94375,0.94375,0.94375,ellow-radfar-az000 + elmid-radmid-az000,0.94375,0.0,0.8880564497652763,0.8983337462366379,0.8895399714170402,0.8983337462366379,ellow-radfar-az000 + elmid-radmid-az000,0.8983337462366379,0.0
male,ellow-radfar-az315 + ellow-radnear-az135 + elmid-radnear-az135,ellow-radfar-az315,ellow-radnear-az135,elmid-radnear-az135,4,0.9269097230655865,0.890625,0.9295138897167312,0.9295138897167312,ellow-radnear-az135 + elmid-radnear-az135,0.9295138897167312,0.0,0.8983131714442107,0.8297374941480697,0.8983131714442107,0.8983131714442107,ellow-radfar-az315 + ellow-radnear-az135,0.8983131714442107,0.0
male,elhigh-radfar-az045 + elhigh-radmid-az000 + elmid-radnear-az315,elhigh-radfar-az045,elhigh-radmid-az000,elmid-radnear-az315,3,0.8666666696468989,0.9208333333333334,0.9208333333333334,0.9208333333333334,elhigh-radfar-az045 + elmid-radnear-az315,0.9208333333333334,0.0,0.8545554748293291,0.8981055952948273,0.8982245307812159,0.8982245307812159,elhigh-radmid-az000 + elmid-radnear-az315,0.8982245307812159,0.0
male,elhigh-radfar-az045 + elhigh-radmid-az000 + elmid-radmid-az270,elhigh-radfar-az045,elhigh-radmid-az000,elmid-radmid-az270,3,0.9333333333333332,0.9510416666666667,0.9666666666666667,0.9666666666666667,elhigh-radmid-az000 + elmid-radmid-az270,0.9666666666666667,0.0,0.8461424249642349,0.8982228992011857,0.8946028760457653,0.8982228992011857,elhigh-radfar-az045 + elmid-radmid-az270,0.8982228992011857,0.0
male,elhigh-radnear-az135 + ellow-radmid-az180 + elmid-radnear-az180,elhigh-radnear-az135,ellow-radmid-az180,elmid-radnear-az180,3,0.9510416666666667,0.8666666666666667,0.9666666666666667,0.9666666666666667,ellow-radmid-az180 + elmid-radnear-az180,0.9666666666666667,0.0,0.8657912431402046,0.8551313510474424,0.8982087095075855,0.8982087095075855,ellow-radmid-az180 + elmid-radnear-az180,0.8982087095075855,0.0
barrel,elhigh-radmid-az090 + elhigh-radnear-az135 + elmid-radmid-az000,elhigh-radmid-az090,elhigh-radnear-az135,elmid-radmid-az000,3,0.908500000278155,0.959375,0.9260416666666668,0.959375,elhigh-radmid-az090 + elmid-radmid-az000,0.959375,0.0,0.8635987161430592,0.8981315497799139,0.8900186543792449,0.8981315497799139,elhigh-radmid-az090 + elmid-radmid-az000,0.8981315497799139,0.0
barrel,elhigh-radmid-az225 + ellow-radnear-az045 + ellow-radnear-az270,elhigh-radmid-az225,ellow-radnear-az045,ellow-radnear-az270,3,0.8971088442900758,0.8971088442900758,0.8049057982745378,0.8971088442900758,elhigh-radmid-az225 + ellow-radnear-az045,0.8971088442900758,0.0,0.8880021166755275,0.8980427720993779,0.892480230118989,0.8980427720993779,elhigh-radmid-az225 + ellow-radnear-az270,0.8980427720993779,0.0
male,ellow-radmid-az135 + ellow-radnear-az045 + elmid-radmid-az045,ellow-radmid-az135,ellow-radnear-az045,elmid-radmid-az045,3,0.8875000000000001,0.9437962969364944,0.8937962979299051,0.9437962969364944,ellow-radmid-az135 + elmid-radmid-az045,0.9437962969364944,0.0,0.8974072680336379,0.8979978371674081,0.8940358268436235,0.8979978371674081,ellow-radmid-az135 + elmid-radmid-az045,0.8979978371674081,0.0
