rank_within_drone_count,drone_count,combination_label,viewpoint_1,viewpoint_2,viewpoint_3,sample_count,scene_count,dominant_target_class,dominant_target_class_count,elevation_pattern,radius_pattern,unique_elevation_count,unique_radius_count,max_pairwise_azimuth_gap,mean_pairwise_azimuth_gap,target_visible_any_rate,target_visible_all_rate,target_found_or_rate,target_found_majority_rate,target_found_all_rate,mean_best_target_ap50_95,mean_mean_target_ap50_95,mean_best_strict_quality,mean_mean_strict_quality,mean_best_match_confidence_iou50,mean_mean_match_confidence_iou50,best_constituent_mean_strict_quality_on_matched_scenes,complementarity_vs_best_single_strict_quality,best_constituent_mean_ap50_95_on_matched_scenes,complementarity_vs_best_single_ap50_95,mean_absent_view_count,selected_has_absent_view_rate,all_selected_views_absent_rate,false_alarm_rate_when_any_selected_view_absent,false_alarm_rate_when_all_selected_views_absent,fusion_sample_count,fusion_mean_best_box_quality,fusion_mean_fused_quality_noisy_or_max_iou,fusion_mean_fused_quality_support_weighted_or,fusion_mean_gain_noisy_vs_best,fusion_mean_gain_support_vs_best,fusion_mean_support_ratio
8,3,ellow-radnear-az225 + elmid-radnear-az315 + elhigh-radnear-az270,ellow-radnear-az225,elmid-radnear-az315,elhigh-radnear-az270,3,3,whitevan,2,low + mid + high,near + near + near,3,1,90,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9550427373241835,0.9751338166386816,0.9612765844589322,0.9838725924491882,0.9744061297840543,0.9699156156548151,0.0052182009838664944,0.9805555567145348,0.01944444328546524,0.0,0.0,0.0,0.0,0.0,3.0,0.9751338166386816,0.9924825353822695,0.9864480646975036,0.017348718743587937,0.011314248058821863,1.0
9,3,ellow-radnear-az270 + ellow-radnear-az315 + elhigh-radfar-az270,ellow-radnear-az270,ellow-radnear-az315,elhigh-radfar-az270,3,3,whitevan,2,low + low + high,near + near + far,2,2,45,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9121296307072043,0.9749823651210789,0.9473436269701251,0.9820303320884705,0.9704807268248663,0.9595340260102461,0.015448339110832876,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9749823651210789,0.9928046938371725,0.9759956180670434,0.01782232871609361,0.001013252945964364,1.0
10,3,ellow-radnear-az225 + ellow-radmid-az270 + elmid-radmid-az090,ellow-radnear-az225,ellow-radmid-az270,elmid-radmid-az090,3,3,container,1,low + low + mid,near + mid + mid,2,2,180,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9296682114862366,0.9748669935825577,0.9605392909702167,0.9859846830368042,0.9776863124635483,0.9748035393895277,6.345419302999922e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9748669935825577,0.9910236892483123,0.9824162006887519,0.016156695665754544,0.00754920710619426,1.0
11,3,ellow-radnear-az270 + elmid-radnear-az000 + elhigh-radfar-az045,ellow-radnear-az270,elmid-radnear-az000,elhigh-radfar-az045,3,3,tree,2,low + mid + high,near + near + far,3,2,135,90.0,1.0,1.0,1.0,1.0,1.0,0.9317460327098767,0.8393351691078257,0.97462618819439,0.9656942328924335,0.9823718667030334,0.9760601984130012,0.97462618819439,0.0,0.8677182525479132,0.06402778016196342,0.0,0.0,0.0,0.0,0.0,3.0,0.97462618819439,0.9931147874671957,0.9893368699706614,0.018488599272805883,0.01471068177627144,1.0
12,3,ellow-radnear-az000 + ellow-radmid-az045 + ellow-radfar-az315,ellow-radnear-az000,ellow-radmid-az045,ellow-radfar-az315,4,4,tower,2,low + low + low,near + mid + far,1,3,90,60.0,1.0,1.0,1.0,1.0,1.0,0.8867647075094283,0.7487423439238935,0.974569585881734,0.955457766740594,0.984456941485405,0.9737223734458288,0.9667011405297199,0.007868445352014142,0.8323897061869502,0.05437500132247808,0.0,0.0,0.0,0.0,0.0,4.0,0.974569585881734,0.9899415729005341,0.9810608125870128,0.015371987018799965,0.006491226705278796,1.0
13,3,ellow-radnear-az135 + elmid-radnear-az315 + elhigh-radmid-az270,ellow-radnear-az135,elmid-radnear-az315,elhigh-radmid-az270,3,3,tent,2,low + mid + high,near + near + mid,3,2,180,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8979439706258753,0.9744059663903583,0.964241883588374,0.9834715525309244,0.9798733327123853,0.9732875980744117,0.001118368315946583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9744059663903583,0.9920439996526874,0.9840226696693896,0.017638033262329156,0.009616703279031302,1.0
14,3,ellow-radnear-az180 + ellow-radnear-az225 + ellow-radmid-az000,ellow-radnear-az180,ellow-radnear-az225,ellow-radmid-az000,3,3,container,1,low + low + low,near + near + mid,1,2,180,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8974429817070669,0.9743855166425774,0.9633989965912576,0.9847066402435303,0.9779056310653687,0.9681375023913491,0.00624801425122834,0.9625,0.03749999999999998,0.0,0.0,0.0,0.0,0.0,3.0,0.9743855166425774,0.9911135300930187,0.9851413601005939,0.01672801345044132,0.010755843458016612,1.0
15,3,ellow-radnear-az180 + ellow-radnear-az225 + elhigh-radnear-az180,ellow-radnear-az180,ellow-radnear-az225,elhigh-radnear-az180,3,3,container,1,low + low + high,near + near + near,2,1,45,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9199797985669641,0.9741920423463301,0.9657187194816444,0.985623300075531,0.9788533316718208,0.9741920423463301,0.0,0.9893333340088527,0.010666665991147295,0.0,0.0,0.0,0.0,0.0,3.0,0.9741920423463301,0.9900248930611556,0.9865640603920109,0.015832850714825503,0.012372018045680925,1.0
16,3,ellow-radnear-az225 + elmid-radmid-az000 + elhigh-radnear-az270,ellow-radnear-az225,elmid-radmid-az000,elhigh-radnear-az270,3,3,rock,1,low + mid + high,near + near + mid,3,2,135,90.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9615242184193385,0.974168600003272,0.9602123766263375,0.9833511114120483,0.9760955108536614,0.9693041186116176,0.004864481391654407,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.974168600003272,0.9906533673768574,0.9836366567448694,0.016484767373585396,0.009468056741597638,1.0
17,3,ellow-radnear-az135 + elmid-radnear-az045 + elmid-radfar-az090,ellow-radnear-az135,elmid-radnear-az045,elmid-radfar-az090,3,3,tent,2,low + mid + mid,near + near + far,2,2,90,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9327910054475069,0.9738391050782743,0.9310995947974656,0.9810782472292582,0.964336845609877,0.9738391050782743,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9738391050782743,0.9925991805617619,0.9631648545633636,0.018760075483487643,-0.010674250514910555,1.0
18,3,ellow-radnear-az315 + elmid-radnear-az270 + elhigh-radfar-az270,ellow-radnear-az315,elmid-radnear-az270,elhigh-radfar-az270,3,3,tent,1,low + mid + high,near + near + far,3,2,45,30.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9874999999999999,0.9738034703352554,0.9543540921248415,0.9820785522460938,0.9750814437866211,0.9681309783441906,0.0056724919910647875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9738034703352554,0.9915602908362645,0.9786410055933414,0.01775682050100909,0.004837535258086094,1.0
19,3,ellow-radnear-az090 + ellow-radnear-az270 + elmid-radnear-az000,ellow-radnear-az090,ellow-radnear-az270,elmid-radnear-az000,3,3,rock,1,low + low + mid,near + near + near,2,1,180,120.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8351658973382947,0.973489723197216,0.9660785090627774,0.9834104776382446,0.9783879319826762,0.9699425088433387,0.0035472143538773926,0.9189236120631298,0.08107638793687022,0.0,0.0,0.0,0.0,0.0,3.0,0.973489723197216,0.9909968119734106,0.9874107703468397,0.01750708877619463,0.013921047149623647,1.0
20,3,ellow-radnear-az135 + ellow-radfar-az315 + elmid-radnear-az315,ellow-radnear-az135,ellow-radfar-az315,elmid-radnear-az315,3,3,rock,1,low + low + mid,near + near + far,2,2,180,120.0,1.0,1.0,1.0,1.0,1.0,0.9947916666666666,0.9027356365695596,0.9733623599270859,0.9586877162508971,0.9830248951911926,0.9774992598427666,0.9698455694945215,0.003516790432564365,0.9739583334575097,0.020833333209156923,0.0,0.0,0.0,0.0,0.0,3.0,0.9733623599270859,0.9901591345388173,0.9807171786549541,0.016796774611731496,0.007354818727868177,1.0
21,3,ellow-radmid-az000 + elmid-radnear-az045 + elmid-radfar-az090,ellow-radmid-az000,elmid-radnear-az045,elmid-radfar-az090,3,3,rock,1,low + mid + mid,near + mid + far,2,3,90,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8534876563533405,0.9732414050096736,0.9504718930087369,0.9831031560897827,0.9715248280101352,0.9732414050096736,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9732414050096736,0.9905209704981646,0.9780902165612445,0.017279565488491005,0.0048488115515709085,1.0
22,3,ellow-radnear-az045 + elmid-radnear-az225 + elmid-radfar-az045,ellow-radnear-az045,elmid-radnear-az225,elmid-radfar-az045,3,3,tent,2,low + mid + mid,near + near + far,2,2,180,120.0,1.0,1.0,1.0,1.0,1.0,0.9235474539610248,0.9010650561262478,0.9730767007229014,0.9588344058894829,0.9818385640780131,0.9717215299606323,0.9700741605568174,0.0030025401660840334,0.9235474539610248,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.9730767007229014,0.9922948580267906,0.9866087408302207,0.019218157303889056,0.013532040107319268,1.0
23,3,ellow-radmid-az045 + ellow-radfar-az315 + elmid-radnear-az315,ellow-radmid-az045,ellow-radfar-az315,elmid-radnear-az315,4,4,tower,2,low + low + mid,near + mid + far,2,3,90,60.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7847463704374403,0.9730494429736529,0.9617493517153198,0.9818450659513474,0.9757831941048304,0.9675824536301256,0.005466989343527295,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.9730494429736529,0.9921936639847492,0.9855761254827038,0.019144221011096252,0.012526682509050924,1.0
24,3,ellow-radnear-az225 + ellow-radmid-az180 + elmid-radfar-az000,ellow-radnear-az225,ellow-radmid-az180,elmid-radfar-az000,3,3,rock,1,low + low + mid,near + mid + far,2,3,180,120.0,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.830629350479185,0.9726012752041567,0.9638008955053574,0.982563296953837,0.9752420584360758,0.9726012752041567,0.0,0.9027310948970229,0.013935571769643773,0.0,0.0,0.0,0.0,0.0,3.0,0.9726012752041567,0.9898431136148765,0.9882463466484689,0.0172418384107198,0.015645071444312264,1.0
25,3,ellow-radmid-az000 + ellow-radfar-az315 + elhigh-radfar-az315,ellow-radmid-az000,ellow-radfar-az315,elhigh-radfar-az315,3,3,tree,2,low + low + high,mid + far + far,2,2,45,30.0,1.0,1.0,1.0,1.0,1.0,0.8716540020626858,0.6722544147046,0.9724617971705326,0.9544094589082057,0.9812212785085043,0.9696041742960612,0.957242046793168,0.01521975037736456,0.8181610516859418,0.053492950376744064,0.0,0.0,0.0,0.0,0.0,3.0,0.9724617971705326,0.9910449853484442,0.9842844676025712,0.018583188177911675,0.011822670432038626,1.0
