drone_count,elevation_pattern,radius_pattern,combination_count,mean_scene_count,mean_best_strict_quality,mean_complementarity_strict_quality,mean_target_found_or_rate,mean_false_alarm_rate_when_any_selected_view_absent
3,low + mid + mid,near + near + mid,32,3.28125,0.940728748962218,0.0062594171824875144,1.0,0.0
3,low + low + high,near + near + far,28,3.142857142857143,0.9405450027803195,0.0072071024377263005,1.0,0.03571428571428571
3,mid + mid + high,near + near + mid,29,3.0689655172413794,0.9400011800412351,0.0034868036636051323,1.0,0.0
3,low + high + high,near + far + far,25,3.2,0.9392543322617216,0.0052452965245116225,1.0,0.0
3,low + mid + high,near + near + far,63,3.253968253968254,0.9374265011029135,0.006414958635302616,1.0,0.015873015873015872
3,low + low + high,near + near + mid,32,3.15625,0.9367272268159771,0.00921797135560824,1.0,0.0625
3,low + low + high,near + mid + mid,26,3.1538461538461537,0.9366667848240315,0.010975025777678022,1.0,0.0
3,low + low + mid,near + mid + mid,21,3.3333333333333335,0.9357738252212652,0.00511261962040341,1.0,0.0
3,mid + high + high,near + near + mid,40,3.225,0.9353767016323152,0.0038764705954821566,1.0,0.0
3,high + high + high,mid + far + far,3,3.0,0.9353255743445371,0.0028644726352402192,1.0,0.0
3,low + mid + mid,near + near + far,34,3.264705882352941,0.9346502571875085,0.0073803482491696885,1.0,0.0
3,mid + mid + high,mid + mid + mid,10,3.0,0.9345170587127768,0.006381609287936296,1.0,0.0
3,low + low + high,near + far + far,18,3.0555555555555554,0.9344706432083572,0.004257577965436441,1.0,0.0
3,low + low + high,mid + mid + mid,5,3.0,0.9325765522426834,0.006157055897576402,1.0,0.2
3,low + mid + high,near + mid + mid,72,3.1527777777777777,0.9322831843306254,0.006751318519231832,1.0,0.04861111111111111
3,mid + mid + high,mid + far + far,30,3.1666666666666665,0.9318428243693039,0.005610293324614309,1.0,0.0
3,low + high + high,near + near + mid,33,3.212121212121212,0.9308026540887843,0.00639417429633441,1.0,0.030303030303030304
3,low + low + low,near + near + near,1,3.0,0.9306382454748091,0.004261034407810116,1.0,0.0
3,mid + mid + mid,near + mid + far,17,3.0,0.9305815454679858,0.001359632059312404,1.0,0.0
3,low + low + low,near + mid + mid,10,3.2,0.9305413588871041,0.012523273990101714,1.0,0.0
3,low + mid + mid,near + mid + far,74,3.2027027027027026,0.9291071186873399,0.007102346506100868,1.0,0.013513513513513514
3,low + low + mid,mid + mid + mid,8,3.125,0.9282102628173227,0.008807570042322688,1.0,0.0625
3,low + high + high,near + near + far,21,3.2857142857142856,0.9281526960428004,0.009769386472045859,1.0,0.047619047619047616
3,low + low + mid,near + mid + far,52,3.3076923076923075,0.9281058061669095,0.010547173831031636,1.0,0.0
3,low + low + low,near + mid + far,24,3.0833333333333335,0.927469009892484,0.006115537023710506,1.0,0.041666666666666664
3,mid + mid + high,near + near + far,27,3.1481481481481484,0.9271348829629035,0.005642323397212617,1.0,0.0
3,low + low + high,near + near + near,12,3.0,0.9270048316772267,0.011305246573006791,1.0,0.0
3,mid + mid + mid,near + mid + mid,5,3.4,0.926965672660675,0.0069053490089511,1.0,0.0
3,low + low + high,near + mid + far,58,3.0689655172413794,0.9265879635479375,0.009615159946837802,1.0,0.017241379310344827
3,mid + mid + mid,far + far + far,1,3.0,0.9253698956028131,0.020484377223333183,1.0,0.0
3,low + high + high,near + mid + far,43,3.2093023255813953,0.9241369785261567,0.008473219336122498,1.0,0.023255813953488372
3,low + low + low,near + far + far,2,4.0,0.9231318662941161,0.0,1.0,0.0
3,low + mid + mid,near + mid + mid,26,3.269230769230769,0.9224829064106241,0.009915074396048227,1.0,0.0
3,low + mid + high,near + mid + far,122,3.237704918032787,0.9223462358217177,0.008624178525652431,1.0,0.03278688524590164
3,mid + mid + high,near + mid + far,57,3.2280701754385963,0.9212302106945733,0.004630815947480368,1.0,0.0
3,low + high + high,near + mid + mid,22,3.090909090909091,0.9205038635584732,0.012074535859102125,1.0,0.045454545454545456
