combination_label,viewpoint_1,viewpoint_2,viewpoint_3,drone_count,sample_count,mean_best_box_quality,mean_noisy_or_max_iou,mean_support_weighted_or,mean_support_ratio,mean_target_ap50_95,mean_azimuth_gap_max,elevation_pattern,radius_pattern
elhigh-radmid-az225 + elhigh-radfar-az045,elhigh-radmid-az225,elhigh-radfar-az045,,2,5,0.9452812197732612,0.9765800305576707,0.9718171056500126,1.0,0.984375,180.0,high + high,mid + far
elhigh-radmid-az225 + elhigh-radfar-az090,elhigh-radmid-az225,elhigh-radfar-az090,,2,6,0.9357692250824025,0.9720959359756748,0.9500910088782399,1.0,0.9890625000000001,135.0,high + high,mid + far
elhigh-radmid-az225 + elhigh-radfar-az135,elhigh-radmid-az225,elhigh-radfar-az135,,2,3,0.9618780855729719,0.9864862355353635,0.9796786839146078,1.0,0.9925595238183935,90.0,high + high,mid + far
elhigh-radmid-az225 + elhigh-radfar-az180,elhigh-radmid-az225,elhigh-radfar-az180,,2,1,0.898673920094403,0.947606772779763,0.9456636687601805,1.0,1.0,45.0,high + high,mid + far
elhigh-radmid-az225 + elhigh-radfar-az225,elhigh-radmid-az225,elhigh-radfar-az225,,2,3,0.847435349815477,0.9244294321350082,0.9109078903541299,1.0,0.9253333337903022,0.0,high + high,mid + far
elhigh-radmid-az225 + elhigh-radfar-az270,elhigh-radmid-az225,elhigh-radfar-az270,,2,3,0.9354835247530756,0.9711879248324276,0.9677385162666877,1.0,0.9933333337306977,45.0,high + high,mid + far
elhigh-radmid-az225 + elhigh-radfar-az315,elhigh-radmid-az225,elhigh-radfar-az315,,2,9,0.9091891019867187,0.9592817103657606,0.9488823762873273,1.0,0.961333585942218,90.0,high + high,mid + far
elhigh-radmid-az225 + elhigh-radmid-az270,elhigh-radmid-az225,elhigh-radmid-az270,,2,3,0.8492525268952823,0.9284591771208802,0.9116359391063691,1.0,0.9208333333333334,45.0,high + high,mid + mid
elhigh-radmid-az225 + elhigh-radmid-az315,elhigh-radmid-az225,elhigh-radmid-az315,,2,5,0.8130320047133786,0.8905910175947739,0.8815428008363412,1.0,0.8616666667163372,90.0,high + high,mid + mid
elhigh-radmid-az270 + elhigh-radfar-az000,elhigh-radmid-az270,elhigh-radfar-az000,,2,3,0.8053187254154844,0.8332421949734098,0.8229377196797337,1.0,0.7625722169703454,90.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radfar-az045,elhigh-radmid-az270,elhigh-radfar-az045,,2,6,0.8357904924341982,0.9032550945762069,0.8963592914877826,1.0,0.8989583333333333,135.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radfar-az090,elhigh-radmid-az270,elhigh-radfar-az090,,2,5,0.8963046143707885,0.9491431797131188,0.9344075767006128,1.0,0.8910952389275744,180.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radfar-az135,elhigh-radmid-az270,elhigh-radfar-az135,,2,3,0.9537822326726845,0.9790885679563738,0.9723453559428951,1.0,0.9434920648792907,135.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radfar-az180,elhigh-radmid-az270,elhigh-radfar-az180,,2,4,0.9004572181776727,0.9475434590423064,0.9199454226709171,1.0,0.9106481485344745,90.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radfar-az225,elhigh-radmid-az270,elhigh-radfar-az225,,2,2,0.8129545378932068,0.8865021127980253,0.8795079639047395,1.0,0.7652380973189359,45.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radfar-az270,elhigh-radmid-az270,elhigh-radfar-az270,,2,2,0.9287118010635265,0.9785136335389918,0.974820167037588,1.0,0.9205817242667391,0.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radfar-az315,elhigh-radmid-az270,elhigh-radfar-az315,,2,1,0.9488859321986425,0.9906713426471957,0.9841429910534591,1.0,0.8239619944608438,45.0,high + high,mid + far
elhigh-radmid-az270 + elhigh-radmid-az315,elhigh-radmid-az270,elhigh-radmid-az315,,2,3,0.7859342424038651,0.888279240992936,0.8638932927952853,1.0,0.885185185957838,45.0,high + high,mid + mid
elhigh-radmid-az315 + elhigh-radfar-az000,elhigh-radmid-az315,elhigh-radfar-az000,,2,6,0.938695239711984,0.9693645649505688,0.9633297213212234,1.0,0.9807291666666668,45.0,high + high,mid + far
elhigh-radmid-az315 + elhigh-radfar-az045,elhigh-radmid-az315,elhigh-radfar-az045,,2,5,0.948233709957465,0.9795729229681047,0.9739877235846585,1.0,0.9757142858207226,90.0,high + high,mid + far
elhigh-radmid-az315 + elhigh-radfar-az090,elhigh-radmid-az315,elhigh-radfar-az090,,2,6,0.9046228598904236,0.9520022261733865,0.9467883756683735,1.0,0.9566550929789189,135.0,high + high,mid + far
elhigh-radmid-az315 + elhigh-radfar-az135,elhigh-radmid-az315,elhigh-radfar-az135,,2,1,0.9501129763364986,0.9873582708536245,0.9750308002401191,1.0,1.0,180.0,high + high,mid + far
elhigh-radmid-az315 + elhigh-radfar-az180,elhigh-radmid-az315,elhigh-radfar-az180,,2,3,0.95076090023462,0.9840004381190003,0.9763488780178147,1.0,1.0,135.0,high + high,mid + far
elhigh-radmid-az315 + elhigh-radfar-az225,elhigh-radmid-az315,elhigh-radfar-az225,,2,6,0.902456415854509,0.9554533548952366,0.9446206906975316,1.0,0.9666666666666667,90.0,high + high,mid + far
elhigh-radmid-az315 + elhigh-radfar-az270,elhigh-radmid-az315,elhigh-radfar-az270,,2,5,0.9449413969998431,0.972675209073244,0.9676985613391655,1.0,0.99375,45.0,high + high,mid + far
elhigh-radmid-az315 + elhigh-radfar-az315,elhigh-radmid-az315,elhigh-radfar-az315,,2,2,0.9471030461437255,0.9755128620419632,0.9739719339779943,1.0,0.9890625,0.0,high + high,mid + far
elhigh-radnear-az000 + elhigh-radfar-az000,elhigh-radnear-az000,elhigh-radfar-az000,,2,1,0.9363569536411873,0.9705037265035413,0.9652798385789966,1.0,1.0,0.0,high + high,near + far
elhigh-radnear-az000 + elhigh-radfar-az045,elhigh-radnear-az000,elhigh-radfar-az045,,2,7,0.9502487064073192,0.9804067199440637,0.9745419689510812,1.0,0.9711681539858026,45.0,high + high,near + far
elhigh-radnear-az000 + elhigh-radfar-az090,elhigh-radnear-az000,elhigh-radfar-az090,,2,4,0.9420079432247306,0.9769184019680307,0.9743514354145237,1.0,0.99609375,90.0,high + high,near + far
elhigh-radnear-az000 + elhigh-radfar-az135,elhigh-radnear-az000,elhigh-radfar-az135,,2,6,0.9457310244235005,0.9765188894751331,0.9680499469155718,1.0,0.9296054209118277,135.0,high + high,near + far
elhigh-radnear-az000 + elhigh-radfar-az180,elhigh-radnear-az000,elhigh-radfar-az180,,2,4,0.8916409012017557,0.9529633311592334,0.9398669921972327,1.0,0.9638888894683785,180.0,high + high,near + far
elhigh-radnear-az000 + elhigh-radfar-az225,elhigh-radnear-az000,elhigh-radfar-az225,,2,2,0.937197027140412,0.9739102307359317,0.9692075974956609,1.0,0.9692500006854534,135.0,high + high,near + far
elhigh-radnear-az000 + elhigh-radfar-az270,elhigh-radnear-az000,elhigh-radfar-az270,,2,4,0.8772325064707793,0.9395094112406875,0.932256979092327,1.0,0.9450000002980232,90.0,high + high,near + far
