target_class,added_image_number,base_coalition_size,scene_support,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou,fraction_of_total_target_ap50_95_gain_captured,fraction_of_total_target_strict_quality_gain_captured,fraction_of_total_noisy_or_best_iou_gain_captured
tank,6,5,19,0.99060868125704,0.9419702326831305,0.981205724143803,0.0032627915660640382,0.0031192062391498555,0.0019229822964109673,0.9817663414084891,0.9614729089178705,0.9835806179522344
tank,7,6,17,0.9929284589390995,0.94297123421852,0.9822298424636325,0.002137874004760531,0.0022106626777965072,0.00141405122461913,0.9965161501906793,0.9737673495374605,0.9921521182798537
tank,8,7,15,0.9934763817735344,0.9451070713991476,0.9831675032154568,0.0014907949758883284,0.0017817762859880756,0.0011179628405720344,1.0,1.0,1.0
tent,1,0,18,0.9561222460858131,0.9583116226079641,0.9583116226079641,0.9561222460858131,0.9583116226079641,0.9583116226079641,0.0,0.0,0.0
tent,2,1,18,0.9912090961069051,0.9668705027975941,0.9877624756558109,0.03508685002109223,0.008558880189629922,0.029450853047846767,0.7996500935237584,0.541455849858952,0.8592777221701833
tent,3,2,18,0.9972211769293775,0.9694128546385493,0.9898414008978986,0.006012080822472256,0.00254235184095513,0.002078925242087737,0.9366689763551451,0.7022912916674171,0.9199338309654381
tent,4,3,18,0.999217537654131,0.9710179344397744,0.9906930545668909,0.0019963607247535575,0.0016050798012249266,0.0008516536689921881,0.9821672196940785,0.8038325948061995,0.9447822461736726
tent,5,4,18,0.9998081115026657,0.9722179612409358,0.9912429993795134,0.0005905738485346766,0.0012000268011615651,0.0005499448126225997,0.9956267474923718,0.8797492471112135,0.9608278026518444
tent,6,5,18,0.9999474705837683,0.9730257293698964,0.9916285088603514,0.00013935908110256092,0.0008077681289607838,0.00038550948083784537,0.9988028234915028,0.9308506492882449,0.9720756842677437
tent,7,6,17,0.9999972426472505,0.9740484818966411,0.9922177152335842,5.286202914297605e-05,0.0005679299483976077,0.00027238772767514694,0.999937158297691,0.9955524941902075,0.9892667622123141
tent,8,7,16,1.0,0.9741187843402819,0.992585585830781,2.929687296273183e-06,0.00045013254221007003,0.0002499766050493285,1.0,1.0,1.0
tower,1,0,13,0.8959299819035434,0.9504544287851803,0.9504544287851803,0.8959299819035434,0.9504544287851803,0.9504544287851803,0.0,0.0,0.0
tower,2,1,13,0.9759341049932095,0.9626106509992198,0.9853246609754897,0.08000412308966613,0.01215622221403955,0.03487023219030933,0.7687528507539495,0.6160654123393932,0.8510180615010511
tower,3,2,13,0.9929379866623241,0.9654982604517583,0.9881836592476401,0.01700388166911462,0.002887609452538677,0.0028589982721504642,0.9321417112551044,0.7624066256481385,0.9207927379104747
tower,4,3,13,0.9976887363796194,0.9672485022318281,0.989400865364187,0.004750749717295185,0.001750241780069689,0.0012172061165469984,0.9777912633950115,0.8511071614681404,0.950499003819392
tower,5,4,13,0.9993126654255196,0.9683536391156574,0.9901882210135479,0.0016239290459002262,0.0011051368838292846,0.0007873556493606433,0.9933954602194516,0.9071144142182135,0.9697146452517186
