scene_key,target_class,available_image_count,added_image_number,base_coalition_size,permutations_used,mean_prefix_target_ap50_95,mean_prefix_target_strict_quality_iou50,mean_prefix_noisy_or_best_iou,mean_marginal_target_ap50_95,mean_marginal_target_strict_quality_iou50,mean_marginal_noisy_or_best_iou
S0-SM_tree19,tree,8,8,7,256,0.9050246358541724,0.9688039468484746,0.9930479526514143,0.005370212095938213,0.00042893357328499526,3.756421646415988e-05
S0-SM_tree2,tree,8,1,0,256,0.8907656676069604,0.9329556565704498,0.9329556565704498,0.8907656676069604,0.9329556565704498,0.9329556565704498
S0-SM_tree2,tree,8,2,1,256,0.9277220400713582,0.9465432752191177,0.9773151005271025,0.036956372464397674,0.013587618648667948,0.04435944395665254
S0-SM_tree2,tree,8,3,2,256,0.9395382990439136,0.9552696276363656,0.9839132109670375,0.011816258972555465,0.008726352417247812,0.006598110439935169
S0-SM_tree2,tree,8,4,3,256,0.9442498147939915,0.9613155878364523,0.9872531255559015,0.00471151575007784,0.006045960200086686,0.0033399145888639336
S0-SM_tree2,tree,8,5,4,256,0.9477580300829317,0.9653810115834222,0.9889679014825123,0.003508215288940195,0.004065423746969873,0.0017147759266109043
S0-SM_tree2,tree,8,6,5,256,0.9496774504267105,0.9686535824051601,0.9900536640630647,0.00191942034377877,0.003272570821737958,0.0010857625805523684
S0-SM_tree2,tree,8,7,6,256,0.9511726507710088,0.9721607005227649,0.9906485394552811,0.0014952003442981914,0.0035071181176048183,0.0005948753922162663
S0-SM_tree2,tree,8,8,7,256,0.952361111475362,0.9739277512124254,0.9907709956153053,0.0011884607043531354,0.001767050689660446,0.0001224561600246827
S0-SM_tree20,tree,13,1,0,256,0.7932333552573682,0.9315227847601301,0.9315227847601301,0.7932333552573682,0.9315227847601301,0.9315227847601301
S0-SM_tree20,tree,13,2,1,256,0.880229471426349,0.9489639379534435,0.977141145334169,0.08699611616898092,0.017441153193313394,0.045618360574038785
