scene_key,target_class,viewpoint_1,viewpoint_2,ordered_label,best_constituent_single,best_box_score,noisy_or_best_iou_score,support_weighted_or_score,geometry_prior_selector_score,geometry_calibrated_selector_score,viewpoint_cell_prior_selector_score,geometry_weighted_or_best_iou_score,geometry_weighted_or_mean_iou_score,viewpoint_cell_weighted_or_best_iou_score,hybrid_geometry_cell_weighted_or_best_iou_score
S0-SM_container_13,container,elhigh-radfar-az045,elmid-radmid-az090,elhigh-radfar-az045 + elmid-radmid-az090,0.9512390255839024,0.9512390255839024,0.9780212364661987,0.9757986807313308,0.9512390255839024,0.9512390255839024,0.9512390255839024,0.9785880559191973,0.976364212085688,0.9784626723865316,0.9785085308954412
S0-SM_container_13,container,elhigh-radfar-az045,elmid-radmid-az270,elhigh-radfar-az045 + elmid-radmid-az270,0.944190906465792,0.944190906465792,0.9751047266813715,0.9742014256498726,0.9396982987161911,0.9396982987161911,0.9396982987161911,0.9753248621455243,0.9744213571886557,0.9752000329713195,0.9752323342873985
S0-SM_container_13,container,elhigh-radfar-az045,elmid-radnear-az180,elhigh-radfar-az045 + elmid-radnear-az180,0.955811884717562,0.955811884717562,0.9829718219653617,0.9782701361961291,0.955811884717562,0.955811884717562,0.955811884717562,0.9834625552520972,0.9787585222398826,0.9832222873962371,0.9833139807776614
S0-SM_container_13,container,elhigh-radfar-az270,elhigh-radmid-az315,elhigh-radfar-az270 + elhigh-radmid-az315,0.9396956933518296,0.9396956933518296,0.9652651239353791,0.9650597294345228,0.9396956933518296,0.9396956933518296,0.9344641377304228,0.965016142392237,0.9648108008710631,0.9652370175444493,0.965120794628695
S0-SM_container_13,container,elhigh-radfar-az270,elhigh-radnear-az090,elhigh-radfar-az270 + elhigh-radnear-az090,0.9344641377304228,0.9344641377304228,0.9646059201121886,0.9608671725519017,0.9243960410761644,0.9243960410761644,0.9243960410761644,0.9644830920071195,0.9607448205202928,0.9646223017763271,0.9645369664794045
S0-SM_container_13,container,elhigh-radfar-az270,elhigh-radnear-az135,elhigh-radfar-az270 + elhigh-radnear-az135,0.9525636552102412,0.9525636552102412,0.9811564380598244,0.9729626440774475,0.9525636552102412,0.9525636552102412,0.9525636552102412,0.9813574670108853,0.9731619942036588,0.9814183565324082,0.9813760424481421
S0-SM_container_13,container,elhigh-radfar-az270,ellow-radfar-az045,elhigh-radfar-az270 + ellow-radfar-az045,0.9344641377304228,0.9344641377304228,0.9645804992580465,0.9634276040236687,0.9344641377304228,0.9344641377304228,0.9344641377304228,0.9631866704015366,0.9620354411127666,0.9643751548155176,0.9638276997466426
S0-SM_container_13,container,elhigh-radfar-az270,ellow-radnear-az000,elhigh-radfar-az270 + ellow-radnear-az000,0.9549362562438546,0.9549362562438546,0.9716732015490116,0.9684131255366759,0.9344641377304228,0.9344641377304228,0.9344641377304228,0.9703449277187227,0.9670893082187669,0.9685654712642913,0.9692560137377597
S0-SM_container_13,container,elhigh-radfar-az270,ellow-radnear-az135,elhigh-radfar-az270 + ellow-radnear-az135,0.9344641377304228,0.9344641377304228,0.9650112868255741,0.9580979139076127,0.9306190336194752,0.9306190336194752,0.9306190336194752,0.9644252486828776,0.9575160741616394,0.9652510784749831,0.9648813648786754
S0-SM_container_13,container,elhigh-radfar-az270,ellow-radnear-az225,elhigh-radfar-az270 + ellow-radnear-az225,0.955274091924565,0.955274091924565,0.9815698295680424,0.9732072485639002,0.955274091924565,0.955274091924565,0.955274091924565,0.9807730503004047,0.972417257535843,0.981744857221535,0.9813060199266384
