group,target_class,subset_name,player_count,base_coalition_mask,base_coalition_size,base_coalition_members,candidate_player_index,candidate_viewpoint,expanded_coalition_mask,expanded_coalition_size,expanded_coalition_members,base_value,expanded_value,delta_value,rank_within_base_coalition
overall,all,perimeter_unique_az_clean_reverse_cycle,8,3,2,ellow-radnear-az225 + ellow-radmid-az180,6,elhigh-radnear-az315,35,3,ellow-radnear-az225 + ellow-radmid-az180 + elhigh-radnear-az315,0.30707329471862055,0.4498139008387469,0.14274060612012635,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,3,2,ellow-radnear-az225 + ellow-radmid-az180,3,ellow-radfar-az135,7,3,ellow-radnear-az225 + ellow-radmid-az180 + ellow-radfar-az135,0.30707329471862055,0.43789968357748105,0.1308263888588605,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,5,2,ellow-radnear-az225 + ellow-radfar-az135,4,elmid-radnear-az270,13,3,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270,0.3706979162621615,0.5610282009093135,0.19033028464715201,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,5,2,ellow-radnear-az225 + ellow-radfar-az135,7,elhigh-radmid-az000,69,3,ellow-radnear-az225 + ellow-radfar-az135 + elhigh-radmid-az000,0.3706979162621615,0.5411880143372699,0.17049009807510845,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,5,2,ellow-radnear-az225 + ellow-radfar-az135,8,elhigh-radfar-az045,133,3,ellow-radnear-az225 + ellow-radfar-az135 + elhigh-radfar-az045,0.3706979162621615,0.5214958676648735,0.15079795140271207,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,5,2,ellow-radnear-az225 + ellow-radfar-az135,5,elmid-radfar-az090,21,3,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radfar-az090,0.3706979162621615,0.5109172280839029,0.14021931182174147,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,5,2,ellow-radnear-az225 + ellow-radfar-az135,6,elhigh-radnear-az315,37,3,ellow-radnear-az225 + ellow-radfar-az135 + elhigh-radnear-az315,0.3706979162621615,0.5068340783857358,0.13613616212357432,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,5,2,ellow-radnear-az225 + ellow-radfar-az135,2,ellow-radmid-az180,7,3,ellow-radnear-az225 + ellow-radmid-az180 + ellow-radfar-az135,0.3706979162621615,0.43789968357748105,0.06720176731531957,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,6,2,ellow-radmid-az180 + ellow-radfar-az135,4,elmid-radnear-az270,14,3,ellow-radmid-az180 + ellow-radfar-az135 + elmid-radnear-az270,0.2830308220628257,0.48498065754343334,0.20194983548060763,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,6,2,ellow-radmid-az180 + ellow-radfar-az135,7,elhigh-radmid-az000,70,3,ellow-radmid-az180 + ellow-radfar-az135 + elhigh-radmid-az000,0.2830308220628257,0.46944230245537577,0.18641148039255007,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,6,2,ellow-radmid-az180 + ellow-radfar-az135,8,elhigh-radfar-az045,134,3,ellow-radmid-az180 + ellow-radfar-az135 + elhigh-radfar-az045,0.2830308220628257,0.44067458558614464,0.15764376352331894,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,6,2,ellow-radmid-az180 + ellow-radfar-az135,1,ellow-radnear-az225,7,3,ellow-radnear-az225 + ellow-radmid-az180 + ellow-radfar-az135,0.2830308220628257,0.43789968357748105,0.15486886151465534,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,6,2,ellow-radmid-az180 + ellow-radfar-az135,6,elhigh-radnear-az315,38,3,ellow-radmid-az180 + ellow-radfar-az135 + elhigh-radnear-az315,0.2830308220628257,0.43133313529630996,0.14830231323348425,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,6,2,ellow-radmid-az180 + ellow-radfar-az135,5,elmid-radfar-az090,22,3,ellow-radmid-az180 + ellow-radfar-az135 + elmid-radfar-az090,0.2830308220628257,0.41327708792875023,0.13024626586592453,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,9,2,ellow-radnear-az225 + elmid-radnear-az270,7,elhigh-radmid-az000,73,3,ellow-radnear-az225 + elmid-radnear-az270 + elhigh-radmid-az000,0.4393533791769516,0.5886670206303081,0.14931364145335646,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,9,2,ellow-radnear-az225 + elmid-radnear-az270,5,elmid-radfar-az090,25,3,ellow-radnear-az225 + elmid-radnear-az270 + elmid-radfar-az090,0.4393533791769516,0.571670871163217,0.1323174919862654,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,9,2,ellow-radnear-az225 + elmid-radnear-az270,3,ellow-radfar-az135,13,3,ellow-radnear-az225 + ellow-radfar-az135 + elmid-radnear-az270,0.4393533791769516,0.5610282009093135,0.12167482173236188,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,9,2,ellow-radnear-az225 + elmid-radnear-az270,8,elhigh-radfar-az045,137,3,ellow-radnear-az225 + elmid-radnear-az270 + elhigh-radfar-az045,0.4393533791769516,0.5566433841882966,0.11729000501134501,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,9,2,ellow-radnear-az225 + elmid-radnear-az270,6,elhigh-radnear-az315,41,3,ellow-radnear-az225 + elmid-radnear-az270 + elhigh-radnear-az315,0.4393533791769516,0.5542167323671641,0.11486335319021246,5
overall,all,perimeter_unique_az_clean_reverse_cycle,8,9,2,ellow-radnear-az225 + elmid-radnear-az270,2,ellow-radmid-az180,11,3,ellow-radnear-az225 + ellow-radmid-az180 + elmid-radnear-az270,0.4393533791769516,0.4999894502502283,0.060636071073276676,6
overall,all,perimeter_unique_az_clean_reverse_cycle,8,10,2,ellow-radmid-az180 + elmid-radnear-az270,1,ellow-radnear-az225,11,3,ellow-radnear-az225 + ellow-radmid-az180 + elmid-radnear-az270,0.33672999957539607,0.4999894502502283,0.16325945067483222,1
overall,all,perimeter_unique_az_clean_reverse_cycle,8,10,2,ellow-radmid-az180 + elmid-radnear-az270,7,elhigh-radmid-az000,74,3,ellow-radmid-az180 + elmid-radnear-az270 + elhigh-radmid-az000,0.33672999957539607,0.4991076217809562,0.16237762220556012,2
overall,all,perimeter_unique_az_clean_reverse_cycle,8,10,2,ellow-radmid-az180 + elmid-radnear-az270,3,ellow-radfar-az135,14,3,ellow-radmid-az180 + ellow-radfar-az135 + elmid-radnear-az270,0.33672999957539607,0.48498065754343334,0.14825065796803727,3
overall,all,perimeter_unique_az_clean_reverse_cycle,8,10,2,ellow-radmid-az180 + elmid-radnear-az270,5,elmid-radfar-az090,26,3,ellow-radmid-az180 + elmid-radnear-az270 + elmid-radfar-az090,0.33672999957539607,0.4590744456058446,0.12234444603044853,4
overall,all,perimeter_unique_az_clean_reverse_cycle,8,10,2,ellow-radmid-az180 + elmid-radnear-az270,8,elhigh-radfar-az045,138,3,ellow-radmid-az180 + elmid-radnear-az270 + elhigh-radfar-az045,0.33672999957539607,0.4584185684424884,0.12168856886709234,5
