scene_key,target_class,view_count,scene_mean_distractor_count,scene_median_distractor_count,scene_max_distractor_count,scene_mean_target_visible_rate,scene_mean_target_detected_rate,scene_detected_given_visible,scene_mean_target_ap50_95,scene_mean_target_strict_quality_iou50,scene_mean_target_match_confidence_iou50,scene_clutter_group
S0-SM_tree18,tree,8,8.5,6.0,25,1.0,1.0,1.0,0.7672385426287929,0.9283113783705126,0.9645874574780464,Q4 high clutter
S0-SM_tree19,tree,8,3.375,2.5,7,1.0,1.0,1.0,0.7411592119991754,0.9558126502786526,0.9700594395399094,Q1 low clutter
S0-SM_tree2,tree,8,5.125,2.5,24,1.0,1.0,1.0,0.8914105706621885,0.9321442775653055,0.9649912118911743,Q2 mid-low clutter
S0-SM_tree20,tree,13,5.230769230769231,4.0,22,1.0,1.0,1.0,0.8029502358998507,0.9322142842821406,0.9660270718427805,Q2 mid-low clutter
S0-SM_tree21,tree,16,6.25,5.0,21,1.0,1.0,1.0,0.7520768276314188,0.944057551392991,0.9677518866956234,Q3 mid-high clutter
S0-SM_tree22,tree,13,3.1538461538461537,3.0,8,1.0,1.0,1.0,0.762200598894675,0.9290475313401819,0.9660722246536841,Q1 low clutter
S0-SM_tree23,tree,13,10.307692307692308,8.0,42,1.0,1.0,1.0,0.9033764500933631,0.9532487486173592,0.9734832965410672,Q4 high clutter
S0-SM_tree24,tree,9,8.555555555555555,3.0,37,1.0,1.0,1.0,0.9196277006063611,0.9461719757103109,0.9737247361077203,Q4 high clutter
S0-SM_tree25,tree,15,9.4,7.0,34,1.0,1.0,1.0,0.9093184565671305,0.9543923891280914,0.9731043656667073,Q4 high clutter
S0-SM_tree26,tree,13,7.461538461538462,9.0,21,1.0,1.0,1.0,0.83249851328759,0.9513536210397547,0.9746549633833078,Q4 high clutter
S0-SM_tree27,tree,9,5.222222222222222,4.0,19,1.0,1.0,1.0,0.9177336881328144,0.9536840122286555,0.9752659731441073,Q2 mid-low clutter
S0-SM_tree28,tree,10,10.7,6.0,36,1.0,1.0,1.0,0.897165566988616,0.9496966426123177,0.9728352904319764,Q4 high clutter
S0-SM_tree29,tree,7,9.428571428571429,3.0,35,1.0,1.0,1.0,0.8704430287422698,0.9488315843567001,0.9697210192680359,Q4 high clutter
S0-SM_tree3,tree,11,5.363636363636363,3.0,14,1.0,1.0,1.0,0.9094247862586269,0.9462723210060499,0.9698071533983404,Q3 mid-high clutter
S0-SM_tree30,tree,13,12.23076923076923,5.0,37,1.0,1.0,1.0,0.8463215056405193,0.9403789285342575,0.9666779270538917,Q4 high clutter
S0-SM_tree4,tree,8,4.0,1.5,15,1.0,1.0,1.0,0.9171933003299726,0.945829176220367,0.9685870409011841,Q1 low clutter
S0-SM_tree5,tree,10,6.0,3.0,21,0.9,0.9,1.0,0.7115251463934283,0.826711006882617,0.8594205796718597,Q3 mid-high clutter
S0-SM_tree6,tree,9,3.111111111111111,3.0,6,1.0,1.0,1.0,0.8952054737738356,0.9172261688514349,0.9610489275720384,Q1 low clutter
S0-SM_tree7,tree,15,7.666666666666667,6.0,26,1.0,1.0,1.0,0.8616459538944006,0.933372630798474,0.9659783085187276,Q4 high clutter
S0-SM_tree8,tree,9,7.444444444444445,5.0,20,1.0,1.0,1.0,0.9071001671271931,0.9346849037036742,0.9647908674346076,Q4 high clutter
S0-SM_tree9,tree,9,3.6666666666666665,2.0,13,1.0,1.0,1.0,0.9003621307597651,0.934478986558354,0.9654632409413656,Q1 low clutter
