drone_count,relationship_axis,relationship_type,scene_key,metric,scene_mean_value,combo_count_in_scene
2,azimuth,adjacent_45,S0-SM_tent_7,AP50-95,1.0,16
2,azimuth,adjacent_45,S0-SM_tent_8,AP50-95,0.9861111120217376,14
2,azimuth,adjacent_45,S0-SM_tent_9,AP50-95,1.0,10
2,azimuth,adjacent_45,S0-SM_tower_1,AP50-95,0.9419642859138548,4
2,azimuth,adjacent_45,S0-SM_tower_10,AP50-95,0.9872550940462227,29
2,azimuth,adjacent_45,S0-SM_tower_11,AP50-95,1.0,17
2,azimuth,adjacent_45,S0-SM_tower_12,AP50-95,1.0,8
2,azimuth,adjacent_45,S0-SM_tower_13,AP50-95,0.9795652174269375,23
2,azimuth,adjacent_45,S0-SM_tower_2,AP50-95,1.0,11
2,azimuth,adjacent_45,S0-SM_tower_3,AP50-95,0.9762500000114624,26
2,azimuth,adjacent_45,S0-SM_tower_4,AP50-95,0.9580000008463859,25
2,azimuth,adjacent_45,S0-SM_tower_5,AP50-95,0.9837148269079625,20
2,azimuth,adjacent_45,S0-SM_tower_6,AP50-95,0.9333250671304841,28
2,azimuth,adjacent_45,S0-SM_tower_7,AP50-95,0.8830597661779284,22
2,azimuth,adjacent_45,S0-SM_tower_8,AP50-95,0.9650621118157038,14
2,azimuth,adjacent_45,S0-SM_tower_9,AP50-95,1.0,9
2,azimuth,adjacent_45,S0-SM_tree1,AP50-95,1.0,20
2,azimuth,adjacent_45,S0-SM_tree10,AP50-95,0.9332278869954009,16
2,azimuth,adjacent_45,S0-SM_tree11,AP50-95,1.0,15
2,azimuth,adjacent_45,S0-SM_tree12,AP50-95,0.8256599689694107,20
2,azimuth,adjacent_45,S0-SM_tree13,AP50-95,0.891821666679789,13
2,azimuth,adjacent_45,S0-SM_tree14,AP50-95,0.8772249791669116,8
2,azimuth,adjacent_45,S0-SM_tree15,AP50-95,0.9142753386560202,8
2,azimuth,adjacent_45,S0-SM_tree16,AP50-95,0.8788344408807467,13
2,azimuth,adjacent_45,S0-SM_tree17,AP50-95,0.8301574088657885,20
2,azimuth,adjacent_45,S0-SM_tree18,AP50-95,0.801689474448987,7
2,azimuth,adjacent_45,S0-SM_tree19,AP50-95,0.8750166697697217,8
