drone_count,relationship_axis,relationship_type,metric,scene_count,total_combo_count,mean_scene_value,ci95_low,ci95_high,scene_sd
3,mixed_diversity,elevation_only,AP50,14,14,0.9937343362255104,0.9812030086765313,1.0,0.022591172013739346
3,azimuth,medium_spread_azimuths,AP50-95,204,15615,0.9494895707363836,0.9395261283561507,0.9591041780058822,0.073205445193191
3,azimuth,compact_azimuths,AP50-95,202,12255,0.9482532793101348,0.937664651241212,0.9573136824992524,0.07318293850026568
3,azimuth,broad_or_opposite_azimuths,AP50-95,194,13776,0.9481565962011487,0.938199600773168,0.9576107366161855,0.07194133607567124
3,distance,near_far,AP50-95,194,18627,0.9493126025606569,0.9386322235772961,0.9592368363869784,0.07338787394132114
3,distance,same_radius,AP50-95,197,4167,0.9482323088974695,0.9376449118523312,0.9584009739607677,0.07469774953617271
3,distance,adjacent_radius,AP50-95,200,18852,0.946577960685377,0.9363051280636385,0.9566293693275774,0.0742366669690636
3,elevation,adjacent_elevation,AP50-95,201,18567,0.9514105519616485,0.9414761655359852,0.9610392490041292,0.07077334475916967
3,elevation,low_high,AP50-95,198,19079,0.9487133555757543,0.9374280355707677,0.9592571289722375,0.07571468172200652
3,elevation,same_elevation,AP50-95,197,4000,0.9441334911819392,0.9338710817033486,0.9544063479443026,0.07603193992920634
3,mixed_diversity,distance+elevation,AP50-95,137,481,0.9541379154164901,0.9411960942642267,0.9658701998703958,0.07524503071856434
3,mixed_diversity,distance+elevation+azimuth,AP50-95,205,33303,0.9494903980396002,0.9393283977190152,0.9594812793473488,0.07258512405634245
3,mixed_diversity,elevation+azimuth,AP50-95,197,3848,0.9485026983913591,0.938214876011489,0.9590553001995115,0.0749777662088285
3,mixed_diversity,distance+azimuth,AP50-95,197,3678,0.9446286233542871,0.9334089897110213,0.9548045123305994,0.0760659422760023
3,mixed_diversity,elevation_only,AP50-95,14,14,0.9376732428592386,0.8893084213901503,0.9809027735814662,0.09026237063793323
3,mixed_diversity,azimuth_only,AP50-95,118,305,0.9371773777738313,0.9198180406117865,0.9532716079995053,0.09217139322702247
3,mixed_diversity,distance_only,AP50-95,17,17,0.8958767090386046,0.830312253462842,0.949024047565574,0.12971545735640228
3,azimuth,compact_azimuths,F1,202,12255,0.7332381051189063,0.7089219748826702,0.7556161716550746,0.16512527871771068
3,azimuth,medium_spread_azimuths,F1,204,15615,0.7319426111342497,0.7103047208126116,0.7538807941019687,0.16363761822549658
3,azimuth,broad_or_opposite_azimuths,F1,194,13776,0.7230007193199243,0.6990230688515052,0.7461631214962335,0.17200901762498538
3,distance,same_radius,F1,197,4167,0.7445643092788858,0.7207497984508963,0.7680965460070487,0.17466149282005872
3,distance,adjacent_radius,F1,200,18852,0.7345323434657058,0.7106524587446345,0.756274539259379,0.16543834453599182
3,distance,near_far,F1,194,18627,0.7215928720944186,0.6977715664127039,0.7440583175980698,0.16559858043833606
3,elevation,same_elevation,F1,197,4000,0.748181705291883,0.7207644832756994,0.775704284871541,0.1923130876864366
3,elevation,adjacent_elevation,F1,201,18567,0.7467195250072901,0.7226157680984411,0.7696896577455096,0.16903534389659836
3,elevation,low_high,F1,198,19079,0.7005538400002498,0.6770830751320882,0.7243960988084368,0.16710461206712982
3,mixed_diversity,azimuth_only,F1,118,305,0.7898708078320829,0.7530488284738792,0.8287233535873956,0.20364130714164577
3,mixed_diversity,distance+azimuth,F1,197,3678,0.7444515148765601,0.7177540893500031,0.7712947639161872,0.19437258916040315
3,mixed_diversity,elevation+azimuth,F1,197,3848,0.7402298114308085,0.71482436174072,0.7640333826212445,0.17502063540955273
3,mixed_diversity,distance+elevation,F1,137,481,0.7333748099369031,0.7034816274591551,0.762213480255222,0.18193897684628052
3,mixed_diversity,distance+elevation+azimuth,F1,205,33303,0.726881711131808,0.7051627948450135,0.7473036559723802,0.15950186320146473
3,mixed_diversity,distance_only,F1,17,17,0.7113664353716257,0.5891926632335369,0.8323531206154476,0.25578631223624176
3,mixed_diversity,elevation_only,F1,14,14,0.6901649582396344,0.5769750294510096,0.8011735167546844,0.21658373307404782
3,azimuth,compact_azimuths,precision,202,12255,0.635559537218334,0.6071380273690563,0.6632160060599341,0.19902300489476452
3,azimuth,medium_spread_azimuths,precision,204,15615,0.6339440059796347,0.6075490502142745,0.6608679453101652,0.19822243995062816
3,azimuth,broad_or_opposite_azimuths,precision,194,13776,0.6234693645677513,0.5948825197947527,0.6527412752813089,0.20634617694845753
3,distance,same_radius,precision,197,4167,0.6502830552526628,0.6210539633394904,0.6806346932828542,0.21433124352472166
3,distance,adjacent_radius,precision,200,18852,0.6365922819428833,0.6080312451529327,0.6628555897099165,0.20054550221512427
3,distance,near_far,precision,194,18627,0.6209611253728735,0.5945131693975639,0.648612391710705,0.19827930839203575
3,elevation,same_elevation,precision,197,4000,0.6612641314373742,0.6296657078707163,0.6931645779301638,0.23416913923362564
3,elevation,adjacent_elevation,precision,201,18567,0.6541092643294205,0.6249585327625756,0.6833807151918679,0.20687859807019165
3,elevation,low_high,precision,198,19079,0.5922418553822554,0.5647925614205735,0.6196942717045466,0.19805037709011766
3,mixed_diversity,azimuth_only,precision,118,305,0.7117949362559315,0.6638277371460072,0.7561221190665778,0.2602246917925434
3,mixed_diversity,distance+azimuth,precision,197,3678,0.6565814242210206,0.6238676315345163,0.6893751944711236,0.2362984678842597
3,mixed_diversity,elevation+azimuth,precision,197,3848,0.6441637892406763,0.6149113373883971,0.674617027373794,0.2141559399012605
