drone_count,relationship_axis,metric,left_relationship_type,right_relationship_type,comparison,common_scene_count,mean_difference,ci95_low,ci95_high,approx_two_sided_p,left_mean_on_common_scenes,right_mean_on_common_scenes
3,distance,AP50-95,adjacent_radius,near_far,adjacent_radius minus near_far,189,-0.002592733536919535,-0.0057807173160003686,0.00044169689807638924,0.091,0.9461148660992282,0.9487075996361477
3,distance,AP50-95,near_far,same_radius,near_far minus same_radius,188,0.0015265511457188325,-0.0025575974928648466,0.0060785892892844294,0.504,0.9503116010668402,0.9487850499211213
3,distance,AP50-95,adjacent_radius,same_radius,adjacent_radius minus same_radius,192,-0.00034402439499144934,-0.003499648536646002,0.0027940010746436436,0.82,0.9469975243175162,0.9473415487125076
3,elevation,AP50-95,adjacent_elevation,same_elevation,adjacent_elevation minus same_elevation,193,0.006462029877859034,0.002259472609418391,0.011271020643116953,0.0,0.9508833131584297,0.9444212832805706
3,elevation,AP50-95,adjacent_elevation,low_high,adjacent_elevation minus low_high,194,0.0035893252148259647,0.0007993411182106678,0.00659604446623256,0.007,0.9527545656878419,0.9491652404730159
3,elevation,AP50-95,low_high,same_elevation,low_high minus same_elevation,191,0.0025309600032295777,-0.0022778034526457287,0.007655801628278932,0.315,0.9487736440255983,0.9462426840223687
3,mixed_diversity,AP50-95,azimuth_only,elevation_only,azimuth_only minus elevation_only,10,-0.0533102399899571,-0.15047590601566047,0.02556483977022611,0.224,0.8868138780433357,0.9401241180332928
3,mixed_diversity,AP50-95,distance+elevation,distance_only,distance+elevation minus distance_only,15,0.046440074775417804,0.005021315120302932,0.09345725375990532,0.029,0.9347447892510243,0.8883047144756065
3,mixed_diversity,AP50-95,distance+elevation+azimuth,distance_only,distance+elevation+azimuth minus distance_only,17,0.03729163073471183,0.0053683545922407604,0.07369207456911404,0.017,0.9331683397733165,0.8958767090386047
3,mixed_diversity,AP50-95,distance+azimuth,distance_only,distance+azimuth minus distance_only,17,0.03456554742408157,0.0036216280108331464,0.0730163965340861,0.031,0.9304422564626862,0.8958767090386047
3,mixed_diversity,AP50-95,azimuth_only,distance_only,azimuth_only minus distance_only,16,0.03188558408345227,-0.010893718353501313,0.07670270041933255,0.135,0.9271712539043334,0.8952856698208811
3,mixed_diversity,AP50-95,distance_only,elevation+azimuth,distance_only minus elevation+azimuth,17,-0.02891422016387167,-0.06647744393838506,0.001150515624956992,0.063,0.8958767090386047,0.9247909292024763
3,mixed_diversity,AP50-95,distance+azimuth,elevation_only,distance+azimuth minus elevation_only,14,-0.018473239626939784,-0.07762405671503153,0.03386122180320575,0.538,0.9192000032322988,0.9376732428592386
3,mixed_diversity,AP50-95,distance+elevation+azimuth,elevation_only,distance+elevation+azimuth minus elevation_only,14,0.01292430815844775,-0.01816533278066628,0.044073556337275686,0.401,0.9505975510176864,0.9376732428592386
3,mixed_diversity,AP50-95,elevation+azimuth,elevation_only,elevation+azimuth minus elevation_only,14,0.012365779119385729,-0.010004234673759667,0.03598194080425359,0.263,0.9500390219786243,0.9376732428592386
3,mixed_diversity,AP50-95,azimuth_only,distance+elevation+azimuth,azimuth_only minus distance+elevation+azimuth,118,-0.01161218801481291,-0.02136336986222065,-0.00330986072341025,0.001,0.9371773777738311,0.948789565788644
3,mixed_diversity,AP50-95,azimuth_only,distance+elevation,azimuth_only minus distance+elevation,99,-0.010982118048381463,-0.022577197822317464,-0.00011052648136329248,0.046,0.9399670946334453,0.9509492126818267
3,mixed_diversity,AP50-95,azimuth_only,elevation+azimuth,azimuth_only minus elevation+azimuth,118,-0.01045550643556603,-0.02043851360839876,-0.0017276470922191222,0.009,0.9371773777738311,0.9476328842093973
3,mixed_diversity,AP50-95,distance+azimuth,distance+elevation,distance+azimuth minus distance+elevation,136,-0.0078096742297050605,-0.016487358824874957,2.838896440199647e-05,0.052,0.9459910199766121,0.9538006942063172
3,mixed_diversity,AP50-95,distance+elevation,elevation_only,distance+elevation minus elevation_only,14,0.007034549054854915,-0.027444214438161914,0.04267990780187112,0.705,0.9447077919140935,0.9376732428592386
3,mixed_diversity,AP50-95,azimuth_only,distance+azimuth,azimuth_only minus distance+azimuth,118,-0.006201610861747521,-0.013041540245555929,-5.5753878664258485e-05,0.05,0.9371773777738311,0.9433789886355787
3,mixed_diversity,AP50-95,distance+azimuth,distance+elevation+azimuth,distance+azimuth minus distance+elevation+azimuth,197,-0.004589226714130595,-0.009502892376460596,5.008907510013497e-05,0.052,0.9446286233542871,0.9492178500684176
3,mixed_diversity,AP50-95,distance+azimuth,elevation+azimuth,distance+azimuth minus elevation+azimuth,193,-0.0032776903716794747,-0.009469081142126115,0.0022199581868532193,0.248,0.9444304810596972,0.9477081714313766
3,mixed_diversity,AP50-95,distance+elevation,elevation+azimuth,distance+elevation minus elevation+azimuth,137,0.0015642491960826295,-0.005233846342529823,0.008417504306347788,0.639,0.9541379154164901,0.9525736662204074
3,mixed_diversity,AP50-95,distance+elevation+azimuth,elevation+azimuth,distance+elevation+azimuth minus elevation+azimuth,197,0.0013824908786408672,-0.0018313140388381136,0.004844536772963576,0.424,0.9498851892699999,0.9485026983913589
3,mixed_diversity,AP50-95,distance+elevation,distance+elevation+azimuth,distance+elevation minus distance+elevation+azimuth,137,0.0012697536154745676,-0.004896184092661925,0.006908200308952329,0.676,0.9541379154164901,0.9528681618010154
3,azimuth,F1,broad_or_opposite_azimuths,compact_azimuths,broad_or_opposite_azimuths minus compact_azimuths,193,-0.010876849214254757,-0.02303398585079437,0.0004016901476746501,0.058,0.7215654898863487,0.7324423391006035
3,azimuth,F1,broad_or_opposite_azimuths,medium_spread_azimuths,broad_or_opposite_azimuths minus medium_spread_azimuths,194,-0.007572140460359376,-0.017747164602566534,0.0021648211134000033,0.121,0.7230007193199243,0.7305728597802836
3,azimuth,F1,compact_azimuths,medium_spread_azimuths,compact_azimuths minus medium_spread_azimuths,201,0.0023582558297573783,-0.00760715006799746,0.012233301155437692,0.691,0.7332170040521587,0.7308587482224013
3,distance,F1,near_far,same_radius,near_far minus same_radius,188,-0.01930901754735238,-0.03338378593144014,-0.00615404834032113,0.002,0.7230648574837589,0.7423738750311113
3,distance,F1,adjacent_radius,same_radius,adjacent_radius minus same_radius,192,-0.011639350912733937,-0.02253643292045143,-0.00045258930785025385,0.04,0.7367337857980575,0.7483731367107914
3,distance,F1,adjacent_radius,near_far,adjacent_radius minus near_far,189,0.008600684984398067,-0.0015591719164650718,0.01932857672893028,0.109,0.732655914770353,0.7240552297859548
3,elevation,F1,low_high,same_elevation,low_high minus same_elevation,191,-0.0463861393668958,-0.0673054019715439,-0.02591607070859531,0.0,0.6984623672984739,0.7448485066653696
