model,object,target_class,view_id,filename,n_views_in_game,predecessor_coalition_size,predecessor_coalition_count,shapley_weight_per_coalition,shapley_total_weight_for_size,mean_marginal_detection,mean_marginal_strict_quality,mean_marginal_noisy_or_best_iou
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,2,36,0.002777777777777778,0.1,0.4166666666666667,0.15836781612248294,0.21119665571737178
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,3,84,0.0011904761904761906,0.1,0.23809523809523808,0.0904958949271331,0.14950930093383788
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,4,126,0.0007936507936507937,0.1,0.11904761904761904,0.04524794746356655,0.10093300774384191
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,5,126,0.0007936507936507937,0.1,0.047619047619047616,0.01809917898542662,0.06392322399015737
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,6,84,0.0011904761904761906,0.1,0.011904761904761904,0.004524794746356655,0.03693539751555784
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,7,36,0.002777777777777778,0.1,0.0,0.0,0.01842497616281683
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,8,9,0.011111111111111112,0.1,0.0,0.0,0.006847407774707887
synthetic_m4,la_souris_truck,whitevan,1,2026-07-12 21.05.57.jpg,10,9,1,0.1,0.1,0.0,0.0,0.0006581401940045639
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,0,1,0.1,0.1,1.0,0.6356431436660991,0.6356431436660991
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,1,9,0.011111111111111112,0.1,0.6666666666666666,0.4741304702543057,0.4947929052065134
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,2,36,0.002777777777777778,0.1,0.4166666666666667,0.34589706561290134,0.37520712783796367
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,3,84,0.0011904761904761906,0.1,0.23809523809523808,0.24641813499552903,0.27534125940322374
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,4,126,0.0007936507936507937,0.1,0.11904761904761904,0.1711688836558324,0.19365074774506696
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,5,126,0.0007936507936507937,0.1,0.047619047619047616,0.11562451684745473,0.12859104070626692
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,6,84,0.0011904761904761906,0.1,0.011904761904761904,0.07526023982403927,0.07861758612959716
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,7,36,0.002777777777777778,0.1,0.0,0.04555125783922945,0.04218583185783115
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,8,9,0.011111111111111112,0.1,0.0,0.02197277614666857,0.017751225733742524
synthetic_m4,la_souris_truck,whitevan,2,2026-07-12 21.06.04.jpg,10,9,1,0.1,0.1,0.0,0.0,0.0037692156001047916
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,0,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,1,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,2,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,3,84,0.0011904761904761906,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,4,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,5,126,0.0007936507936507937,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,6,84,0.0011904761904761906,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,7,36,0.002777777777777778,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,8,9,0.011111111111111112,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,3,2026-07-12 21.01.06.jpg,10,9,1,0.1,0.1,0.0,0.0,0.0
synthetic_m4,la_souris_truck,whitevan,4,2026-07-12 21.01.23.jpg,10,0,1,0.1,0.1,1.0,0.43788815834608197,0.43788815834608197
