run_name,object_id,description,target_class,available_view_count,view_index,file_name,coalition_count_k1_to_k3,single_view_detection_at_conf25_iou50,single_view_matched_confidence_iou50,single_view_matched_iou_iou50,single_view_strict_quality_iou50,coalition_count_k1,coalition_count_k2,coalition_count_k3,mean_marginal_k1_to_k3_detection_at_conf25_iou50,positive_marginal_rate_k1_to_k3_detection_at_conf25_iou50,mean_marginal_k1_detection_at_conf25_iou50,mean_marginal_k2_detection_at_conf25_iou50,mean_marginal_k3_detection_at_conf25_iou50,mean_marginal_k1_to_k3_best_matched_confidence_iou50,positive_marginal_rate_k1_to_k3_best_matched_confidence_iou50,mean_marginal_k1_best_matched_confidence_iou50,mean_marginal_k2_best_matched_confidence_iou50,mean_marginal_k3_best_matched_confidence_iou50,mean_marginal_k1_to_k3_best_strict_quality_iou50,positive_marginal_rate_k1_to_k3_best_strict_quality_iou50,mean_marginal_k1_best_strict_quality_iou50,mean_marginal_k2_best_strict_quality_iou50,mean_marginal_k3_best_strict_quality_iou50,mean_marginal_k1_to_k3_noisy_or_best_iou_iou50,positive_marginal_rate_k1_to_k3_noisy_or_best_iou_iou50,mean_marginal_k1_noisy_or_best_iou_iou50,mean_marginal_k2_noisy_or_best_iou_iou50,mean_marginal_k3_noisy_or_best_iou_iou50
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,7,2026-06-29 17.36.51.jpg,22,1,0.9346943497657776,0.857356335085049,0.80136612213989,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.28559129617430945,0.7272727272727273,0.9346943497657776,0.3634880930185318,0.21115904053052267,0.26018248940421823,1.0,0.80136612213989,0.3188519896963054,0.2006357804383385,0.23917822148018847,1.0,0.80136612213989,0.36796407957009647,0.1501846848669119
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,7,8,2026-06-29 17.36.53.jpg,22,1,0.4323313534259796,0.8337734307050577,0.36046639574733985,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.02747468650341034,0.09090909090909091,0.4323313534259796,0.02868529160817464,0.0,0.02158458634200033,0.09090909090909091,0.36046639574733985,0.019065750629444562,0.0,0.08233606080069551,1.0,0.36046639574733985,0.13786258622113814,0.0415834283027422
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,1,2026-06-28 20.56.45.jpg,16,1,0.9446581602096558,0.8348817250337419,0.7886778343630383,1,5,10,0.0625,0.0625,1.0,0.0,0.0,0.12675055488944054,1.0,0.9446581602096558,0.0965035080909729,0.060083317756652835,0.08171831390763548,1.0,0.7886778343630383,0.04285764099943172,0.03045269831619707,0.10235621609590166,1.0,0.7886778343630383,0.13107705492277422,0.01936363485575172
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,2,2026-06-28 20.56.46.jpg,16,1,0.9206346273422241,0.8210386255364361,0.7558765890543088,1,5,10,0.0625,0.0625,1.0,0.0,0.0,0.1027270220220089,0.6875,0.9206346273422241,0.07247997522354126,0.036059784889221194,0.05164609149120394,0.25,0.7558765890543088,0.011978473851468285,0.0010568505547612795,0.09617756699730767,1.0,0.7558765890543088,0.12156657861007772,0.017513158985222554
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,3,2026-06-28 20.56.47.jpg,16,1,0.8750148415565491,0.8517662193944963,0.745308083506696,1,5,10,0.0625,0.0625,1.0,0.0,0.0,0.0713634192943573,0.4375,0.8750148415565491,0.035984146595001223,0.008687913417816162,0.04900396510430074,0.125,0.745308083506696,0.007751071632423168,0.0,0.09344987241450943,1.0,0.745308083506696,0.11775380518362526,0.01611208492073285
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,4,2026-06-28 20.56.54.jpg,16,1,0.8289240002632141,0.9171699414605935,0.7602641767966931,1,5,10,0.0625,0.0625,1.0,0.0,0.0,0.05601680651307106,0.125,0.8289240002632141,0.01346898078918457,0.0,0.05356566112849709,0.4375,0.7602641767966931,0.014611026496898893,0.0023731268774765833,0.11920749462846755,1.0,0.7602641767966931,0.14750260650687555,0.04095427047244099
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,5,2026-06-28 20.58.04.jpg,16,1,0.7615790963172913,0.9277470045609211,0.7065527253445801,1,5,10,0.0625,0.0625,1.0,0.0,0.0,0.047598693519830704,0.0625,0.7615790963172913,0.0,0.0,0.04415954533403626,0.0625,0.7065527253445801,0.0,0.0,0.1182563176894991,1.0,0.7065527253445801,0.14001367543211518,0.04854799805268295
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,6,2026-06-28 20.58.01.jpg,16,1,0.8546206951141357,0.8905698123939171,0.7610993921157548,1,5,10,0.0625,0.0625,1.0,0.0,0.0,0.06244098022580147,0.25,0.8546206951141357,0.02374765872955322,0.002569669485092163,0.05413987166035202,0.6875,0.7610993921157548,0.015279198752148272,0.0028742560689136165,0.10607906890038932,1.0,0.7610993921157548,0.13427131443579227,0.026480913811151308
real_uav_finetuned,white_truck_bottendaal,white truck Bottendaal,whitevan,7,1,2026-06-30 15.33.46.jpg,22,1,0.9494345188140869,0.9786014828115247,0.9291180279439119,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.04749751091003418,0.3181818181818182,0.9494345188140869,0.011658390363057455,0.0017040252685546875,0.08941380140807391,1.0,0.9291180279439119,0.07035792124281132,0.041055871705123106,0.10931895988144248,1.0,0.9291180279439119,0.11703471984844084,0.051579384690478514
real_uav_finetuned,white_truck_bottendaal,white truck Bottendaal,whitevan,7,2,2026-06-30 15.33.52.jpg,22,1,0.966159462928772,0.9522466439498933,0.9200221060943545,1,6,15,0.045454545454545456,0.045454545454545456,1.0,0.0,0.0,0.060084435072812165,1.0,0.966159462928772,0.025666038195292156,0.013446791966756185,0.0803178795585166,0.7272727272727273,0.9200221060943545,0.061261999393253996,0.031959949855565786,0.08504250600401653,1.0,0.9200221060943545,0.09443793529244221,0.02561902761595707
