run_name,object_id,description,target_class,view_index,file_name,image_path,label_path,target_gt_present,target_gt_count,target_gt_area,target_prediction_count,best_target_prediction_confidence,best_target_prediction_iou,target_match_confidence_iou50,target_match_iou_at_confidence_iou50,target_strict_quality_iou50,detected_at_conf25_iou50
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,6,2026-06-30 15.33.29.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-30 15.33.29.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-30 15-33-29_jpg.rf.0CWKmpMx5jepccU1fbrX.txt,1,1,31624.0,0,0.0,0.0,0.0,0.0,0.0,0
synthetic_m4,white_truck_bottendaal,white truck Bottendaal,whitevan,7,2026-06-30 15.33.34.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-30 15.33.34.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-30 15-33-34_jpg.rf.OlM8F8UHplRmUkUvmghl.txt,1,1,33033.0,0,0.0,0.0,0.0,0.0,0.0,0
real_uav_finetuned,parkinglot_car,car on parking lot,suv,1,2026-06-28 20.56.45.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.45.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-45_jpg.rf.WvIzwwqNfr2FwVzy6x88.txt,1,1,64480.0,6,0.9446581602096558,0.8348817250337419,0.9446581602096558,0.8348817250337419,0.7886778343630383,1
real_uav_finetuned,parkinglot_car,car on parking lot,suv,2,2026-06-28 20.56.46.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.46.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-46_jpg.rf.DkbkmCBVPpANvl9WFA60.txt,1,1,81172.0,9,0.9206346273422241,0.8210386255364361,0.9206346273422241,0.8210386255364361,0.7558765890543088,1
real_uav_finetuned,parkinglot_car,car on parking lot,suv,3,2026-06-28 20.56.47.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.47.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-47_jpg.rf.nMT2UZlmud1shWVy5Jiz.txt,1,1,73232.0,8,0.8750148415565491,0.8517662193944963,0.8750148415565491,0.8517662193944963,0.745308083506696,1
real_uav_finetuned,parkinglot_car,car on parking lot,suv,4,2026-06-28 20.56.54.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.56.54.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-56-54_jpg.rf.voBQ703Bqpy0YBkz2NBb.txt,1,2,49734.0,7,0.8289240002632141,0.9171699414605935,0.8289240002632141,0.9171699414605935,0.7602641767966931,1
real_uav_finetuned,parkinglot_car,car on parking lot,suv,5,2026-06-28 20.58.04.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.58.04.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-58-04_jpg.rf.zjNHVpdk39OIu88kVWzN.txt,1,3,5994.000000000003,28,0.7615790963172913,0.9277470045609211,0.7615790963172913,0.9277470045609211,0.7065527253445801,1
real_uav_finetuned,parkinglot_car,car on parking lot,suv,6,2026-06-28 20.58.01.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-28 20.58.01.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-28 20-58-01_jpg.rf.f4A16xU0KlgCRKuODbSJ.txt,1,4,10614.0,45,0.8546206951141357,0.8905698123939171,0.8546206951141357,0.8905698123939171,0.7610993921157548,1
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,1,2026-06-29 17.37.15.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.37.15.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-37-15_jpg.rf.UAtIJnOxH6Llr8U1xMNR.txt,1,1,90968.0,5,0.5793657302856445,0.8719968629325333,0.5793657302856445,0.8719968629325333,0.5052050992996983,1
real_uav_finetuned,ooij_tower,tower in the Ooij,tower,2,2026-06-29 17.35.32.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\UAV footage\2026-06-29 17.35.32.jpg,C:\Users\lisan\OneDrive\Documents\New project\real_imagery\test\labels\2026-06-29 17-35-32_jpg.rf.4YhkV0MDaO0Vk2phnysE.txt,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0
