viewpoint,original_count,original_mean_ap50_95,original_median_ap50_95,original_std_ap50_95,single_id,number_of_train_images,number_of_val_images,number_of_test_images,trained_precision,trained_recall,trained_f1,trained_map50,trained_map50_95,elevation,radius,azimuth,grid_row_label,original_rank,original_pct,trained_rank,trained_pct,original_z,trained_z,pct_delta,z_delta,rank_delta,abs_rank_delta
ellow-radmid-az045,37,0.609928466263047,0.571921204795758,0.2150310579503239,sv0010,143,25,2214,0.5128967761007864,0.6398759690009617,0.5693929232790678,0.5128967761007864,0.30014263000222136,ellow,radmid,045,low | mid,65,0.09859154929577463,58,0.19718309859154926,-1.486463580032967,-0.9816068173008212,0.09859154929577463,0.5048567627321459,7,7
ellow-radmid-az090,32,0.5964449163645505,0.5566369571711887,0.26165581563894896,sv0011,147,26,2214,0.49588602423856504,0.6119279038757736,0.547829355946276,0.49588602423856504,0.29891069134571624,ellow,radmid,090,low | mid,67,0.07042253521126762,59,0.18309859154929575,-1.6014598865616712,-1.0132296947465125,0.11267605633802813,0.5882301918151587,8,8
ellow-radmid-az135,30,0.733715441707931,0.790061558495198,0.23849585707731438,sv0012,146,29,2214,0.47279385342897795,0.5961771018491083,0.5273648791253336,0.47279385342897795,0.27777266742978585,ellow,radmid,135,low | mid,49,0.323943661971831,69,0.04225352112676062,-0.43072936466076667,-1.5558258185128278,-0.2816901408450704,-1.1250964538520611,-20,20
ellow-radmid-az180,21,0.5736416172313977,0.5572205225288698,0.19199961072294133,sv0013,152,32,2214,0.5363496222003464,0.6472557929593863,0.5866066436911365,0.5363496222003464,0.33089890701803604,ellow,radmid,180,low | mid,68,0.05633802816901412,47,0.352112676056338,-1.7959409539899296,-0.19211784914390717,0.2957746478873239,1.6038231048460223,21,21
ellow-radmid-az225,29,0.5083508518666316,0.47546562626929145,0.21030824110415622,sv0014,155,21,2214,0.5250402883688833,0.6320654533029673,0.5736032860587302,0.5250402883688833,0.3003457176956631,ellow,radmid,225,low | mid,71,0.014084507042253502,57,0.21126760563380287,-2.352782210476664,-0.9763937190621026,0.19718309859154937,1.3763884914145614,14,14
ellow-radmid-az270,26,0.6320736568163265,0.6638627308768363,0.27050767337710596,sv0015,142,37,2214,0.5253753524881575,0.6270542141444926,0.5717292202905788,0.5253753524881575,0.31427159279864797,ellow,radmid,270,low | mid,63,0.12676056338028174,50,0.3098591549295775,-1.2975952819829504,-0.6189276720472322,0.18309859154929575,0.6786676099357182,13,13
ellow-radmid-az315,33,0.698849042632475,0.7357343643205241,0.21895360177960507,sv0016,152,20,2214,0.46554902971007983,0.5787283006230444,0.5160054537138612,0.46554902971007983,0.2748397286931444,ellow,radmid,315,low | mid,52,0.2816901408450704,71,0.014084507042253502,-0.7280922361461433,-1.6311120040179163,-0.2676056338028169,-0.9030197678717731,-19,19
ellow-radnear-az000,35,0.7305433157674951,0.796874987706542,0.2411474056121603,sv0001,141,29,2214,0.5303346337046508,0.6488384280685342,0.5836318709075391,0.5303346337046508,0.31016518002313737,ellow,radnear,000,low | near,50,0.3098591549295775,52,0.2816901408450704,-0.4577832762597218,-0.7243359951448958,-0.028169014084507116,-0.26655271888517396,-2,2
ellow-radnear-az045,32,0.6423330610288382,0.629840232170628,0.2551046970157395,sv0002,146,27,2214,0.49813793757808983,0.6242674285389078,0.5541158279122731,0.49813793757808983,0.28505665657478896,ellow,radnear,045,low | near,62,0.14084507042253525,63,0.12676056338028174,-1.2100965445951477,-1.3688516580447798,-0.014084507042253502,-0.1587551134496321,-1,1
ellow-radnear-az090,32,0.6016701294232649,0.6090888365105326,0.27865398897456495,sv0003,148,25,2214,0.48881408313422153,0.6138004969623285,0.5442233987577014,0.48881408313422153,0.29210572313626104,ellow,radnear,090,low | near,66,0.08450704225352113,62,0.14084507042253525,-1.5568959395965836,-1.1879077719162854,0.05633802816901412,0.3689881676802982,4,4
