factor,factor_value,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent
elevation_azimuth,high|az090,91,80,10,0.5295608108108109,0.9843014128728415,0.6886326194398682,0.5651105651105651,0.9913793103448276,0.7198748043818466,0.6563941918856259,0.9855616605616606,0.7608436126670542,0.986882624533776,0.8799580279372016,0.8174009783032339,0.9977799977799977,0.8697755379720473,0.9951636553513106,0.8834006828888034,0.8682363713789261,0.9295498027906313,1.0,1.0,0,0,0.0
elevation_azimuth,mid|az090,89,78,10,0.38823529411764707,0.9124423963133641,0.5447042640990372,0.484472049689441,0.9873417721518988,0.65,0.669699645576582,0.972589614887549,0.7589199012937691,0.9683167860502905,0.8547065724829631,0.8487585126457914,0.9868913857677902,0.8805222636672185,0.9860585840566986,0.8827328610564298,0.8843857483599008,0.9356767066409079,1.0,1.0,0,0,0.0
elevation_azimuth,mid|az135,94,80,10,0.32574525745257454,0.9078549848942599,0.47945751894694855,0.42923794712286156,0.9583333333333334,0.5929108485499462,0.5237910020808532,0.9538841375763351,0.6390085085817305,0.9492962148823622,0.8240765735459655,0.7924516263821479,0.9833878296644254,0.841957330052825,0.9795882632184522,0.879881098159917,0.8909140906744439,0.941909170531212,1.0,1.0,0,0,0.0
elevation_azimuth,mid|az225,83,70,10,0.33135456017269294,0.8623595505617978,0.4787524366471735,0.4667931688804554,0.9761904761904762,0.631578947368421,0.5204560113614397,0.9282865356088376,0.6336662260143728,0.9274092063338875,0.8137805609519009,0.7300664614084986,0.9639223560910308,0.7956248247121485,0.9608226377703902,0.870417768177762,0.877242099343393,0.9201344689690923,0.9879518072289156,0.9759036144578314,1,0,0.0
elevation_azimuth,low|az315,90,82,10,0.25298013245033113,0.8179871520342612,0.38644410723318157,0.32156368221941994,0.9622641509433962,0.4820415879017013,0.357569089270587,0.8723237661222697,0.480925613587579,0.8614838281262099,0.6946503797892258,0.5802989935981827,0.9314109347442681,0.6694589533783024,0.928990254103491,0.8136238564336266,0.848638127966998,0.8952935525112682,0.9555555555555556,0.9555555555555556,4,0,0.0
elevation_azimuth,low|az135,98,82,10,0.2507956715467855,0.7911646586345381,0.3808603189946834,0.3469055374592834,0.9141630901287554,0.5029515938606848,0.3699650299905937,0.8577966279450877,0.49020870736469646,0.8519698107663964,0.6939233501827196,0.5568934665833162,0.9069241982507289,0.6373993419627463,0.9052554696222497,0.7928111414396162,0.8392031604849328,0.8958008751577261,0.9591836734693877,0.9591836734693877,4,0,0.0
elevation_azimuth,low|az090,92,80,10,0.17015945330296128,0.6955307262569832,0.2734260614934114,0.27136258660508084,0.9288537549407114,0.42001787310098304,0.28411515933069287,0.7774796387830283,0.3940992545562228,0.7717784275797339,0.613522981789901,0.4599161656919754,0.8958333333333334,0.5602910438325884,0.8920225706077154,0.7774559414005834,0.8574657902907766,0.9006287092747896,0.9565217391304348,0.9565217391304348,4,0,0.0
elevation_azimuth,low|az180,85,79,10,0.25372124492557513,0.7845188284518828,0.3834355828220859,0.34210526315789475,0.8986175115207373,0.49555273189326554,0.3547286780555465,0.8370778841129891,0.47402903679226993,0.8147080659675179,0.6347881707687953,0.579432893428083,0.882081317375435,0.6509790851269486,0.8762830625890282,0.7724277686350015,0.8669037374546507,0.9019010719131021,0.9529411764705882,0.9529411764705882,4,0,0.0
elevation_azimuth,low|az225,95,84,10,0.18387799564270152,0.6773675762439807,0.2892392049348869,0.2878612716763006,0.9087591240875912,0.437225636523266,0.29949360713678935,0.7678228578583435,0.3995410941632038,0.753081603540785,0.5879284565611264,0.5352469331792928,0.890622009569378,0.6134955912014767,0.8897265142477228,0.7627319364933285,0.8549239091808101,0.896497276582216,0.9578947368421052,0.9578947368421052,4,1,0.25
elevation_azimuth,low|az045,91,76,10,0.16712328767123288,0.7106796116504854,0.27060998151571164,0.2892223738062756,0.902127659574468,0.4380165289256198,0.28773502276006907,0.7933028054302715,0.3940678872985884,0.7753038384680687,0.595125550392814,0.4953625277783099,0.8854090354090354,0.5909496044452102,0.883512352278522,0.7561987406086458,0.8511127389840067,0.8972572874236893,0.9560439560439561,0.9560439560439561,4,0,0.0
elevation_azimuth,low|az000,105,81,10,0.25287643821910955,0.7782909930715936,0.3817255050028318,0.3428927680798005,0.919732441471572,0.49954586739327883,0.3943046154393667,0.865223306069483,0.5125933528450158,0.8522897389508016,0.6759415003764894,0.5316725748695329,0.8697162097162097,0.6159208128373214,0.8698122336894831,0.7454941634864564,0.8220502195659576,0.8660619156701225,0.9238095238095239,0.9238095238095239,8,1,0.125
elevation_azimuth,low|az270,88,77,10,0.18352601156069365,0.679144385026738,0.28896473265073946,0.304654442877292,0.9037656903765691,0.45569620253164556,0.34238743895853657,0.7716372873243981,0.44253467403072233,0.7530760712794645,0.5958303291402243,0.4557173004826627,0.8453463203463204,0.556186558007574,0.8501818549879421,0.730732068102197,0.8289641973510803,0.8688653599132191,0.9204545454545454,0.9204545454545454,7,1,0.14285714285714285
elevation_radius,mid|near,260,151,10,0.3629489603024575,0.964824120603015,0.5274725274725275,0.39609120521172636,0.9743589743589743,0.5632237146827235,0.6123354362690961,0.9730533355533355,0.7086446117891405,0.9694170023819878,0.8776097835640545,0.8016397878948985,0.9847924297924299,0.8483405190056605,0.9820876473794383,0.9181427775210185,0.9135886058052799,0.9480689814457527,1.0,0.9961538461538462,0,0,0.0
