viewpoint,elevation,radius,azimuth,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent,manifest_train_images,manifest_val_images,manifest_test_images,global_rank_by_target_ap50_95,global_rank_by_strict_quality
ellow-radfar-az180,low,far,180,25,25,9,0.25862068965517243,0.8333333333333334,0.39473684210526316,0.3128491620111732,0.9333333333333333,0.4686192468619247,0.41569620798239343,0.880121837570754,0.5300264550262735,0.8481046679735406,0.6561407743174875,0.6093513957307061,0.9177777777777777,0.6793978359948509,0.9084855478580135,0.7695561731382309,0.8611496800146489,0.9022188258171081,0.96,0.96,1,0,0.0,145,35,25,60,51
ellow-radfar-az225,low,far,225,30,30,10,0.18370073480293922,0.6425233644859814,0.2857142857142857,0.34285714285714286,0.8888888888888888,0.4948453608247423,0.2728112920761505,0.7410966001727263,0.3797923396840566,0.7131796905202473,0.5468831803219916,0.5015133270305684,0.8572222222222222,0.5990832389169986,0.841902959350346,0.670843147244176,0.7785229607420039,0.8344523251056671,0.9333333333333333,0.9333333333333333,2,0,0.0,141,34,30,71,69
ellow-radfar-az270,low,far,270,32,32,10,0.16432978126752665,0.6496674057649667,0.26230975828111014,0.26480836236933797,0.8636363636363636,0.4053333333333333,0.31625013298449983,0.7201929297620595,0.4096135224898753,0.700054621878728,0.5390340719737379,0.35758297805995176,0.7465773809523809,0.4550674803974493,0.7557289413496984,0.610903836640479,0.7292866114635945,0.7852726839482784,0.84375,0.84375,5,0,0.0,137,36,32,72,72
ellow-radfar-az315,low,far,315,28,28,10,0.25653436592449175,0.8103975535168195,0.3897058823529412,0.3201754385964912,0.948051948051948,0.4786885245901639,0.3957541609524843,0.858093497459099,0.5115708373159794,0.8490943082335368,0.680430048009382,0.5651498901581192,0.8739795918367347,0.6468361210761726,0.8724033670478235,0.7391064342960014,0.74552128459872,0.7946598002953189,0.8928571428571429,0.8928571428571429,3,0,0.0,149,28,28,63,71
elmid-radnear-az000,mid,near,0,21,21,10,0.3220338983050847,0.95,0.4810126582278481,0.4666666666666667,0.9607843137254902,0.6282051282051282,0.5372179641087205,0.9557823129251701,0.6414627197111421,0.9582995910623082,0.8943489087430188,0.7806122448979591,0.9722222222222223,0.831000119345984,0.9714781757266748,0.9263145329839101,0.9310569471536381,0.9638969273794264,1.0,1.0,0,0,0.0,148,36,21,6,3
elmid-radnear-az045,mid,near,45,32,32,10,0.2809611829944547,0.9743589743589743,0.43615494978479197,0.26506024096385544,0.9777777777777777,0.41706161137440756,0.5620565233911318,0.9793526785714286,0.6609420967466888,0.97761242182791,0.8941281710576114,0.7080115821069768,0.9885416666666667,0.7730196900949408,0.9864500658563831,0.9156071375252578,0.9301019000916874,0.962074114009738,1.0,1.0,0,0,0.0,138,35,32,9,4
elmid-radnear-az090,mid,near,90,31,31,10,0.479020979020979,1.0,0.6477541371158393,0.4927536231884058,1.0,0.6601941747572816,0.7489797073328482,1.0,0.8191062615935282,0.9958627348317071,0.8903642872405094,0.9108238011660513,1.0,0.9303897576828284,0.9980042360482677,0.910072295777202,0.8862058950874298,0.9342678881460621,1.0,1.0,0,0,0.0,150,24,31,15,30
elmid-radnear-az135,mid,near,135,43,43,10,0.28010825439783493,0.9495412844036697,0.43260188087774293,0.32857142857142857,0.9426229508196722,0.4872881355932203,0.4870238254275034,0.967926776066311,0.6068139827310421,0.9593982122848851,0.8368391173491881,0.7758446637843036,0.9801402731635289,0.8275947774296388,0.9756279254133244,0.9075941350469103,0.9233566889723123,0.9531030044999234,1.0,1.0,0,0,0.0,142,20,43,16,8
elmid-radnear-az180,mid,near,180,32,32,10,0.3556851311953353,0.9606299212598425,0.5191489361702127,0.5855855855855856,0.9848484848484849,0.7344632768361582,0.6900020020198776,0.9741815476190476,0.7622711421611845,0.9689008854951856,0.8991866123792063,0.8566136232718894,0.984375,0.8883413461538462,0.9853515625,0.9379400283138873,0.9011725752692823,0.9366855788975954,1.0,1.0,0,0,0.0,144,29,32,2,16
elmid-radnear-az225,mid,near,225,25,25,10,0.43820224719101125,0.9512195121951219,0.6,0.4608695652173913,0.9464285714285714,0.6198830409356725,0.5612383440314475,0.9541269841269842,0.6769046891069774,0.9598566464762921,0.8592449873647703,0.7006666666666667,0.9420000000000001,0.7691861471861472,0.9460555560191471,0.8680479174260464,0.8770919836021115,0.9161764550209045,1.0,0.96,0,0,0.0,146,34,25,42,42
elmid-radnear-az270,mid,near,270,43,43,10,0.4197247706422018,0.973404255319149,0.5865384615384616,0.39768339768339767,0.9903846153846154,0.5674931129476584,0.6214906649869204,0.9770764119601328,0.7236552869414157,0.9666890213701838,0.8759402164268648,0.8126088477006469,0.9953488372093022,0.8618270378171655,0.9837807793079444,0.9136514213008092,0.9142447979608065,0.9512969338616659,1.0,1.0,0,0,0.0,134,28,43,12,9
