target_class,viewpoint,elevation,radius,azimuth,sample_count,scene_count,class_count,micro_precision,micro_recall,micro_f1,target_micro_precision,target_micro_recall,target_micro_f1,mean_precision,mean_recall,mean_f1,mean_ap50,mean_ap50_95,mean_target_precision,mean_target_recall,mean_target_f1,mean_target_ap50,mean_target_ap50_95,mean_strict_quality,mean_match_confidence_iou50,target_visible_rate,target_found_rate,target_absent_view_count,false_alarm_count_when_target_absent,false_alarm_rate_when_target_absent,class_rank_by_target_ap50_95
rock,elhigh-radnear-az180,high,near,180,3,3,1,0.5384615384615384,0.9333333333333333,0.6829268292682927,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.6458333333333334,0.9583333333333334,0.75,0.9674479166666666,0.9433449080144918,0.6388888888888888,0.9166666666666666,0.725,0.9270833333333334,0.9052083334575096,0.9591815967051526,0.9737730622291565,1.0,1.0,0,0,0.0,50
rock,elhigh-radnear-az225,high,near,225,5,5,1,0.7727272727272727,1.0,0.8717948717948718,0.7619047619047619,1.0,0.8648648648648649,0.8072727272727273,1.0,0.8833333333333334,0.993650794407678,0.9303336968411401,0.8457142857142858,1.0,0.8977777777777778,1.0,0.9858750000596046,0.9522229330104907,0.9746366143226624,1.0,1.0,0,0,0.0,14
rock,elhigh-radnear-az270,high,near,270,3,3,1,0.46153846153846156,0.9473684210526315,0.6206896551724138,0.3548387096774194,1.0,0.5238095238095238,0.47222222222222227,0.9583333333333334,0.6302294197031039,0.9664351853231589,0.9556878310938677,0.36838624338624343,1.0,0.5350945350945351,1.0,0.9930555555969477,0.9622185587341718,0.9774206082026163,1.0,1.0,0,0,0.0,10
rock,elhigh-radnear-az315,high,near,315,5,5,1,0.6904761904761905,0.9666666666666667,0.8055555555555556,0.5769230769230769,0.9375,0.7142857142857143,0.7428571428571429,0.96,0.8238095238095238,0.968888890809483,0.8669492117570506,0.7142857142857142,0.95,0.7993006993006994,0.959375,0.9071875004470348,0.9565669423065799,0.9743206143379212,1.0,1.0,0,0,0.0,48
rock,elhigh-radmid-az000,high,mid,0,3,3,1,0.8181818181818182,1.0,0.9,0.8888888888888888,1.0,0.9411764705882353,0.7959401709401709,1.0,0.8808063916759569,1.0,0.9142656216610018,0.8968253968253969,1.0,0.9440559440559441,1.0,0.9844920640067448,0.9618348312571499,0.9770137667655945,1.0,1.0,0,0,0.0,15
rock,elhigh-radmid-az045,high,mid,45,4,4,1,0.6904761904761905,1.0,0.8169014084507042,1.0,1.0,1.0,0.7736299648064354,1.0,0.8579166666666667,1.0,0.9376924242340169,1.0,1.0,1.0,1.0,0.9914444450669818,0.9559876450433666,0.9740567058324814,1.0,1.0,0,0,0.0,11
rock,elhigh-radmid-az090,high,mid,90,5,5,1,0.7213114754098361,0.9777777777777777,0.8301886792452831,0.6923076923076923,1.0,0.8181818181818182,0.7676190476190476,0.9777777777777779,0.8516533758639022,0.9848809526695146,0.9118347154821791,0.8,1.0,0.86,1.0,0.9663962978981159,0.9578147318539315,0.9755043864250184,1.0,1.0,0,0,0.0,22
rock,elhigh-radmid-az135,high,mid,135,3,3,1,0.52,1.0,0.6842105263157895,0.7142857142857143,1.0,0.8333333333333334,0.6666666666666666,1.0,0.7666666666666666,0.9833333343267441,0.8929583357373874,0.8666666666666667,1.0,0.9166666666666666,0.9722222238779068,0.9233333381679323,0.942653723466267,0.9701675176620483,1.0,1.0,0,0,0.0,41
rock,elhigh-radmid-az180,high,mid,180,2,2,1,0.4,1.0,0.5714285714285714,0.35714285714285715,1.0,0.5263157894736842,0.47916666666666663,1.0,0.6346153846153846,0.9625000022351742,0.7905312459433664,0.475,1.0,0.5952380952380952,0.9583333358168602,0.7995833377353847,0.9633627645902774,0.9692538976669312,1.0,1.0,0,0,0.0,64
rock,elhigh-radmid-az225,high,mid,225,4,4,1,0.7027027027027027,0.9629629629629629,0.8125,0.6,0.9230769230769231,0.7272727272727273,0.8472222222222222,0.9772727272727273,0.896584440227704,0.9829545505344868,0.9375536639819091,0.7909090909090909,0.95,0.8472222222222223,0.9590909118002111,0.9545454575392333,0.9531928401184073,0.9733801186084747,1.0,1.0,0,0,0.0,28
rock,elhigh-radmid-az270,high,mid,270,2,2,1,0.5277777777777778,0.95,0.6785714285714286,0.625,1.0,0.7692307692307693,0.5277777777777778,0.9444444444444444,0.6756066411238826,0.9506172873539689,0.9014029303801847,0.75,1.0,0.8333333333333333,1.0,0.9460069386495483,0.9602969834272699,0.9734435379505157,1.0,1.0,0,0,0.0,32
rock,elhigh-radmid-az315,high,mid,315,2,2,1,0.6428571428571429,1.0,0.782608695652174,1.0,1.0,1.0,0.75,1.0,0.8333333333333333,1.0,0.96875,1.0,1.0,1.0,1.0,1.0,0.9510064437671826,0.9708189070224762,1.0,1.0,0,0,0.0,4
rock,elhigh-radfar-az000,high,far,0,2,2,1,0.7727272727272727,1.0,0.8717948717948718,0.8888888888888888,1.0,0.9411764705882353,0.868421052631579,1.0,0.9242424242424242,1.0,0.9351768201213885,0.9285714285714286,1.0,0.9615384615384615,1.0,0.9478174610743447,0.9375452227473389,0.9664197564125061,1.0,1.0,0,0,0.0,29
rock,elhigh-radfar-az045,high,far,45,5,5,1,0.6666666666666666,0.9767441860465116,0.7924528301886793,0.7222222222222222,0.9285714285714286,0.8125,0.7557142857142857,0.9875,0.8366666666666667,0.9921875,0.8831803587147167,0.845,0.9666666666666666,0.8928571428571429,0.9770833306014538,0.9659166645457347,0.9516989941061184,0.9679298520088195,1.0,1.0,0,0,0.0,23
rock,elhigh-radfar-az090,high,far,90,1,1,1,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,0.75,1.0,0.8571428571428571,1.0,0.8838020798067252,1.0,1.0,1.0,1.0,0.9555555588669247,0.9323024885735798,0.9676740765571594,1.0,1.0,0,0,0.0,26
rock,elhigh-radfar-az135,high,far,135,2,2,1,0.6206896551724138,1.0,0.7659574468085106,0.8,1.0,0.8888888888888888,0.6238095238095238,1.0,0.7644927536231885,1.0,0.8228199387860617,0.8,1.0,0.875,1.0,0.908666669756174,0.9399144269574577,0.9661607444286346,1.0,1.0,0,0,0.0,47
