viewpoint_pair,viewpoint_1,viewpoint_2,sample_count,scene_count,mean_precision,mean_recall,mean_f1,mean_ap50_95,mean_best_ap50_95,mean_target_ap50_95,mean_best_target_ap50_95,mean_target_match_confidence_iou50,mean_best_target_match_confidence_iou50,mean_target_strict_quality_iou50,mean_best_target_strict_quality_iou50,mean_azimuth_gap,target_visible_rate,target_detected_rate,target_detected_given_visible
elhigh-radmid-az045 + elhigh-radmid-az225,elhigh-radmid-az045,elhigh-radmid-az225,7,7,0.5772299595829008,0.9795918367346939,0.6947636704349146,0.8635855204661046,0.9198630359744825,0.9413442463481001,0.9821428573557309,0.9661800478185926,0.9682657207761493,0.9422856046747855,0.946859426675945,180.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radmid-az270,elhigh-radmid-az045,elhigh-radmid-az270,7,7,0.6569053096015061,0.9818681318681318,0.7585562966430598,0.9054260671105995,0.9366483711918393,0.9139683960675283,0.9329251706625532,0.9418667895453317,0.9521911229406085,0.8957487299661194,0.9127054457181326,135.0,1.0,1.0,1.0
elhigh-radmid-az045 + elhigh-radmid-az315,elhigh-radmid-az045,elhigh-radmid-az315,3,3,0.644869750132908,1.0,0.7839904420549582,0.9523960722142087,0.997278911747089,0.9722222230500644,0.9925925931444874,0.9594857394695282,0.9652879436810812,0.9371024963795165,0.9526918271919295,90.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az000,elhigh-radmid-az090,elhigh-radfar-az000,5,5,0.7612935222672065,0.9800000000000001,0.8532033957348208,0.879834037609163,0.8913622141365745,0.8730041685412328,0.8942083350419999,0.9180546998977661,0.93627769947052,0.8605296035088632,0.8899750063415631,90.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az045,elhigh-radmid-az090,elhigh-radfar-az045,4,4,0.7713479907773386,1.0,0.8673400673400673,0.8473237510547924,0.8683917006178311,0.8390277786511514,0.8597222235467699,0.8853445276618004,0.8987939357757568,0.7921874329828875,0.8051612905357857,45.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az090,elhigh-radmid-az090,elhigh-radfar-az090,4,4,0.5779926288133119,0.9780465949820789,0.7046303159206385,0.8797530947126408,0.9194628293611122,0.9192708333488554,0.9322916666977108,0.9319975152611732,0.9336388856172562,0.8851054890899328,0.8936464577815331,0.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az135,elhigh-radmid-az090,elhigh-radfar-az135,4,4,0.5133544645928547,1.0,0.6606174819566961,0.8406630645047162,0.8802501051691843,0.8589821438574721,0.8707142869587101,0.912596695125103,0.9258784502744675,0.843834696959878,0.8589486243738342,45.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az180,elhigh-radmid-az090,elhigh-radfar-az180,4,4,0.7664017825884001,1.0,0.8656189083820662,0.8989431892399784,0.9179601091386975,0.8607638899650839,0.89375,0.8993528783321381,0.9081994444131851,0.8018864937979955,0.8238420759982636,90.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az225,elhigh-radmid-az090,elhigh-radfar-az225,6,6,0.5592866504379793,0.9785353535353535,0.6905978215400315,0.8780568087743461,0.9346823965190598,0.9054668814702276,0.9425401969531225,0.9446995556354523,0.9468093315760294,0.8915568825835832,0.9146861186354412,135.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az270,elhigh-radmid-az090,elhigh-radfar-az270,6,6,0.6673169848457204,1.0,0.793579873054216,0.9148582612421335,0.9384851201524337,0.9332627323363667,0.9529629633713652,0.9302367667357127,0.9383390247821808,0.8771987006882768,0.8914198126205152,180.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radfar-az315,elhigh-radmid-az090,elhigh-radfar-az315,5,5,0.7796037296037296,0.975,0.8599447895100069,0.8964684206155873,0.9285833343068759,0.8855194447351826,0.8904166667163371,0.9187772452831269,0.9353572249412536,0.8584415254493531,0.8703701340007441,135.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radmid-az135,elhigh-radmid-az090,elhigh-radmid-az135,8,8,0.5714913602571831,0.9913793103448276,0.6921982850636874,0.8414275194748474,0.881810131365747,0.8404692016224597,0.8860092615603848,0.9241253472864628,0.9332308769226074,0.8490246542131652,0.8831308414050545,45.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radmid-az180,elhigh-radmid-az090,elhigh-radmid-az180,4,4,0.6138402660141791,1.0,0.7377309325759474,0.9166611328797051,0.9369910685574023,0.9063764198758638,0.9335815069020176,0.9529528319835663,0.9573323577642441,0.9183868959635642,0.9304181479971723,90.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radmid-az225,elhigh-radmid-az090,elhigh-radmid-az225,5,5,0.5787075281040799,0.9488888888888889,0.704900252629576,0.8888389866446286,0.9196136397163601,0.9224584634639248,0.9784333341956138,0.966929429769516,0.9679486751556396,0.9443752980427356,0.9492621837828018,135.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radmid-az270,elhigh-radmid-az090,elhigh-radmid-az270,5,5,0.6221153846153846,0.9598039215686274,0.7366374088178599,0.9140962391074684,0.9453681999150992,0.8683023156281422,0.9027083333581686,0.910320770740509,0.9139054536819458,0.8400580606029365,0.8475158173943982,180.0,1.0,1.0,1.0
elhigh-radmid-az090 + elhigh-radmid-az315,elhigh-radmid-az090,elhigh-radmid-az315,3,3,0.8405797101449276,1.0,0.9065687474500205,0.9437041536862264,0.9560325258864837,0.9089120374440595,0.913310185957838,0.9118073284626007,0.9226603309313456,0.8473934358027938,0.8602322375922439,135.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az000,elhigh-radmid-az135,elhigh-radfar-az000,3,3,0.7663398692810457,1.0,0.8611443381180223,0.8783725284384105,0.9228917765798313,0.8015625000000001,0.8916666666666666,0.8055023575822512,0.9175050059954325,0.7501941358710306,0.8488588929323804,135.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az045,elhigh-radmid-az135,elhigh-radfar-az045,5,5,0.6567866161616162,0.9703296703296704,0.7422222222222222,0.8300062485182085,0.8632014568475819,0.7749900800581017,0.8103968266835289,0.8616738200187684,0.8811843872070313,0.73891660694044,0.7714109146593742,90.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az090,elhigh-radmid-az135,elhigh-radfar-az090,6,6,0.6820687928470682,0.9736874236874237,0.7757238716793823,0.8949588836586176,0.9552171195097369,0.9281456682220023,0.9537450398717607,0.9327751298745474,0.9400312205155691,0.8840484167000578,0.9038472134253196,45.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az135,elhigh-radmid-az135,elhigh-radfar-az135,5,5,0.6447026657552973,0.9714285714285713,0.7377687529861443,0.8767912746883779,0.9256291528211589,0.8406258515406426,0.9396428578808195,0.907054090499878,0.9154387950897217,0.8400145352975908,0.8717609755885831,0.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az180,elhigh-radmid-az135,elhigh-radfar-az180,4,4,0.5486442904921166,0.9852941176470589,0.7031881209739055,0.8862129551699496,0.9062808470638203,0.9177083338300387,0.91875,0.9367727935314178,0.9429352581501007,0.8905701173539899,0.9055982937451441,45.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az225,elhigh-radmid-az135,elhigh-radfar-az225,3,3,0.4918032786885245,0.9629629629629629,0.6504409171075838,0.8260366171148043,0.8530003813717651,0.6685964088732389,0.7345114090790351,0.8418983022371928,0.8543221354484558,0.7406740007264805,0.783670205311425,90.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az270,elhigh-radmid-az135,elhigh-radfar-az270,4,4,0.6650122549019608,0.96875,0.7828591581661964,0.9041764083163282,0.9442376080978179,0.9678701115941793,0.9863333335717519,0.9680089056491852,0.9728025197982788,0.9437236726119891,0.9540033003452013,135.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radfar-az315,elhigh-radmid-az135,elhigh-radfar-az315,4,4,0.6140922638808965,1.0,0.7489265345154474,0.8934877887996571,0.9540501001524546,0.9697500019172827,1.0,0.9703197330236435,0.9732798635959625,0.9515841848980404,0.9592137139386736,180.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radmid-az180,elhigh-radmid-az135,elhigh-radmid-az180,4,4,0.7236111111111111,0.9771825396825397,0.8228283322461405,0.911537248975893,0.9325137799911707,0.9186689850612095,0.9379629652050359,0.9381914660334587,0.9413580298423767,0.8943813653289667,0.9030606079530648,45.0,1.0,1.0,1.0
elhigh-radmid-az135 + elhigh-radmid-az225,elhigh-radmid-az135,elhigh-radmid-az225,4,4,0.7609903381642512,1.0,0.8533282130056323,0.9203780997824846,0.9523842837709202,0.8993460681834431,0.944791667535901,0.9373162165284157,0.9411126673221588,0.8961895539838949,0.8981186635246932,90.0,1.0,1.0,1.0
