scene_key,file_name,image_id,target_class,viewpoint,elevation,radius,azimuth,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred,target_visible,target_detected,target_precision,target_recall,target_f1,target_ap50,target_ap50_95,target_best_iou,target_match_confidence_iou50,target_match_iou_at_confidence_iou50,target_strict_quality_iou50,target_tp,target_fp,target_fn
S0-SM_container_8,S0-SM_container_8-elhigh-radfar-az045.png,433,container,elhigh-radfar-az045,high,far,45,0.7,1.0,0.8235294117647058,1.0,0.8465306218120517,7,3,0,7,10,1,1,1.0,1.0,1.0,1.0,1.0,0.975660502910614,0.964066743850708,0.975660502910614,0.9406018441447799,4,0,0
S0-SM_container_8,S0-SM_container_8-elhigh-radfar-az225.png,434,container,elhigh-radfar-az225,high,far,225,0.4,0.8888888888888888,0.5517241379310346,0.8987654391998126,0.7440123617906629,8,12,1,9,20,1,1,1.0,1.0,1.0,1.0,1.0,0.9740352630615234,0.9667470455169678,0.9740352630615234,0.9416457127940703,4,0,0
S0-SM_container_8,S0-SM_container_8-elhigh-radnear-az180.png,435,container,elhigh-radnear-az180,high,near,180,0.6153846153846154,1.0,0.761904761904762,0.9861111119389534,0.8790903557091951,8,5,0,8,13,1,1,1.0,1.0,1.0,1.0,1.0,0.9755167961120605,0.9688525199890137,0.9662020802497864,0.9361073202686327,4,0,0
S0-SM_container_8,S0-SM_container_8-elhigh-radnear-az270.png,436,container,elhigh-radnear-az270,high,near,270,0.8571428571428571,1.0,0.923076923076923,1.0,0.8757936556306151,6,1,0,6,7,1,1,0.8,1.0,0.888888888888889,1.0,0.9825000002980232,0.9759585857391357,0.9595715403556824,0.9631345868110657,0.924196539036128,4,1,0
S0-SM_container_8,S0-SM_container_8-ellow-radnear-az225.png,437,container,ellow-radnear-az225,low,near,225,0.13953488372093023,0.42857142857142855,0.2105263157894737,0.4505814023538681,0.3249169506503894,6,37,8,14,43,1,1,0.16666666666666666,0.4,0.23529411764705882,0.4500000069538752,0.45000000695387515,0.9877204298973083,0.9730178713798523,0.9555063247680664,0.9297247302158098,2,10,3
S0-SM_container_8,S0-SM_container_8-ellow-radnear-az315.png,438,container,ellow-radnear-az315,low,near,315,0.7142857142857143,1.0,0.8333333333333333,1.0,0.8580952461986314,5,2,0,5,7,1,1,0.6,1.0,0.7499999999999999,1.0,0.9316666708389917,0.9786165356636047,0.9741668105125427,0.9786165356636047,0.9533357492622478,3,2,0
S0-SM_container_8,S0-SM_container_8-elmid-radmid-az090.png,439,container,elmid-radmid-az090,mid,mid,90,0.7,1.0,0.8235294117647058,1.0,0.929523812362126,7,3,0,7,10,1,1,0.8,1.0,0.888888888888889,1.0,1.0,0.9832820892333984,0.9694454073905945,0.9832820892333984,0.9532383055767468,4,1,0
S0-SM_container_8,S0-SM_container_8-elmid-radmid-az135.png,440,container,elmid-radmid-az135,mid,mid,135,0.5833333333333334,1.0,0.7368421052631579,1.0,0.9190476238017989,7,5,0,7,12,1,1,1.0,1.0,1.0,1.0,1.0,0.9904842972755432,0.9714915752410889,0.9904842972755432,0.9622471502117804,4,0,0
S0-SM_container_8,S0-SM_container_8-elmid-radnear-az270.png,441,container,elmid-radnear-az270,mid,near,270,0.5,1.0,0.6666666666666666,1.0,0.8145124854650895,7,7,0,7,14,1,1,1.0,1.0,1.0,1.0,1.0,0.986994743347168,0.9684849381446838,0.9825092554092407,0.9515454154515979,4,0,0
S0-SM_container_9,S0-SM_container_9-elhigh-radfar-az045.png,442,container,elhigh-radfar-az045,high,far,45,1.0,1.0,1.0,1.0,0.8320000016987323,5,0,0,5,5,1,1,1.0,1.0,1.0,1.0,1.0,0.9651958346366882,0.9610339999198914,0.9651958346366882,0.9275860136669145,1,0,0
S0-SM_container_9,S0-SM_container_9-elhigh-radfar-az135.png,443,container,elhigh-radfar-az135,high,far,135,1.0,1.0,1.0,1.0,0.8640000050365924,5,0,0,5,5,1,1,1.0,1.0,1.0,1.0,1.0,0.9650596380233765,0.9670544862747192,0.9650596380233765,0.9332652524731628,1,0,0
S0-SM_container_9,S0-SM_container_9-elhigh-radnear-az180.png,444,container,elhigh-radnear-az180,high,near,180,0.6666666666666666,1.0,0.8,1.0,0.7916666679084301,2,1,0,2,3,1,1,1.0,1.0,1.0,1.0,1.0,0.9664473533630371,0.9487117528915405,0.9664473533630371,0.916879962686437,1,0,0
S0-SM_container_9,S0-SM_container_9-elhigh-radnear-az225.png,445,container,elhigh-radnear-az225,high,near,225,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.9871740341186523,0.9715731143951416,0.9871740341186523,0.9591117507786748,1,0,0
S0-SM_container_9,S0-SM_container_9-ellow-radfar-az045.png,446,container,ellow-radfar-az045,low,far,45,0.10526315789473684,0.4444444444444444,0.1702127659574468,0.4514619943081286,0.3217543921064128,4,34,5,9,38,1,1,0.25,1.0,0.4,1.0,1.0,0.9604751467704773,0.9518577456474304,0.9604751467704773,0.9142357079553314,1,3,0
S0-SM_container_9,S0-SM_container_9-ellow-radfar-az135.png,447,container,ellow-radfar-az135,low,far,135,0.15151515151515152,0.45454545454545453,0.22727272727272727,0.4807162649375347,0.30720029052243925,5,28,6,11,33,1,1,0.1,0.2,0.13333333333333333,0.24000000342726707,0.24000000342726707,0.9694148898124695,0.9530843496322632,0.9694148898124695,0.9239341597807496,1,9,4
S0-SM_container_9,S0-SM_container_9-elmid-radfar-az270.png,448,container,elmid-radfar-az270,mid,far,270,0.6363636363636364,1.0,0.7777777777777778,1.0,0.86779221238641,7,4,0,7,11,1,1,1.0,1.0,1.0,1.0,1.0,0.9784675240516663,0.9592296481132507,0.9784675240516663,0.9385750587863235,1,0,0
S0-SM_container_9,S0-SM_container_9-elmid-radnear-az180.png,449,container,elmid-radnear-az180,mid,near,180,1.0,1.0,1.0,1.0,1.0,1,0,0,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.9778547286987305,0.9645518660545349,0.9778547286987305,0.9431916032966114,1,0,0
S0-SM_male1,S0-SM_male1-elhigh-radmid-az045.png,450,male,elhigh-radmid-az045,high,mid,45,1.0,1.0,1.0,1.0,0.909375,4,0,0,4,4,1,1,1.0,1.0,1.0,1.0,0.7,0.8472751379013062,0.774599552154541,0.8472751379013062,0.6562989423700287,1,0,0
S0-SM_male1,S0-SM_male1-elhigh-radnear-az180.png,451,male,elhigh-radnear-az180,high,near,180,1.0,1.0,1.0,1.0,0.903125,4,0,0,4,4,1,1,1.0,1.0,1.0,1.0,0.8,0.883651852607727,0.7551130652427673,0.883651852607727,0.6672570590300708,1,0,0
S0-SM_male1,S0-SM_male1-elmid-radfar-az045.png,452,male,elmid-radfar-az045,mid,far,45,0.625,1.0,0.7692307692307693,1.0,0.8725000075995922,5,3,0,5,8,1,1,1.0,1.0,1.0,1.0,0.5,0.7006847858428955,0.7897023558616638,0.7006847858428955,0.55333242609656,1,0,0
S0-SM_male1,S0-SM_male1-elmid-radmid-az180.png,453,male,elmid-radmid-az180,mid,mid,180,1.0,1.0,1.0,1.0,0.8875,4,0,0,4,4,1,1,1.0,1.0,1.0,1.0,0.7,0.8367544412612915,0.8183904886245728,0.8367544412612915,0.6847918760426097,1,0,0
