scene_key,target_class,viewpoint_1,viewpoint_2,viewpoint_pair,elevation_1,radius_1,azimuth_1,elevation_2,radius_2,azimuth_2,same_elevation,same_radius,azimuth_gap,precision,recall,f1,mean_ap50_95,best_ap50_95,mean_target_ap50_95,best_target_ap50_95,mean_target_match_confidence_iou50,best_target_match_confidence_iou50,mean_target_strict_quality_iou50,best_target_strict_quality_iou50,target_visible,target_detected,target_detected_given_visible,tp_sum,fp_sum,fn_sum
S0-SM_barrel_1,barrel,elmid-radmid-az090,elhigh-radmid-az045,elmid-radmid-az090 + elhigh-radmid-az045,mid,mid,90,high,mid,45,0,1,45,0.8888888888888888,1.0,0.9411764705882353,0.8581250004470349,0.8725000008940696,0.6499999999999999,0.7,0.8150228261947632,0.8461145162582397,0.6524447365608737,0.712026533706343,1,1,1.0,8,1,0
S0-SM_barrel_1,barrel,elmid-radmid-az090,elhigh-radfar-az270,elmid-radmid-az090 + elhigh-radfar-az270,mid,mid,90,high,far,270,0,0,180,1.0,1.0,1.0,0.8953125,0.946875,0.8,0.9,0.8149788677692413,0.8461145162582397,0.7165230570767029,0.7210195804470629,1,1,1.0,8,0,0
S0-SM_barrel_1,barrel,elmid-radfar-az225,elhigh-radnear-az090,elmid-radfar-az225 + elhigh-radnear-az090,mid,far,225,high,near,90,0,0,135,0.8888888888888888,1.0,0.9411764705882353,0.896145834028721,0.9072916671633721,0.9,1.0,0.8236462473869324,0.8409633040428162,0.7452024691731687,0.770657237116577,1,1,1.0,8,1,0
S0-SM_barrel_1,barrel,elmid-radfar-az225,elhigh-radmid-az045,elmid-radfar-az225 + elhigh-radmid-az045,mid,far,225,high,mid,45,0,0,180,0.8888888888888888,1.0,0.9411764705882353,0.8898958340287209,0.9072916671633721,0.8,1.0,0.7951301634311676,0.8063291907310486,0.6817600882659907,0.770657237116577,1,1,1.0,8,1,0
S0-SM_barrel_1,barrel,elmid-radfar-az225,elhigh-radfar-az270,elmid-radfar-az225 + elhigh-radfar-az270,mid,far,225,high,far,270,0,1,45,1.0,1.0,1.0,0.927083333581686,0.946875,0.95,1.0,0.7950862050056458,0.8063291907310486,0.74583840878182,0.770657237116577,1,1,1.0,8,0,0
S0-SM_barrel_1,barrel,elhigh-radnear-az090,elhigh-radmid-az045,elhigh-radnear-az090 + elhigh-radmid-az045,high,near,90,high,mid,45,1,0,45,0.8,1.0,0.8888888888888888,0.8787500008940696,0.8850000008940697,0.7,0.8,0.8124472200870514,0.8409633040428162,0.6563053203225824,0.7197477012297604,1,1,1.0,8,2,0
S0-SM_barrel_1,barrel,elhigh-radnear-az090,elhigh-radfar-az270,elhigh-radnear-az090 + elhigh-radfar-az270,high,near,90,high,far,270,1,0,180,0.8888888888888888,1.0,0.9411764705882353,0.9159375004470349,0.946875,0.8500000000000001,0.9,0.8124032616615295,0.8409633040428162,0.7203836408384117,0.7210195804470629,1,1,1.0,8,1,0
S0-SM_barrel_1,barrel,elhigh-radmid-az045,elhigh-radfar-az270,elhigh-radmid-az045 + elhigh-radfar-az270,high,mid,45,high,far,270,1,0,135,0.8888888888888888,1.0,0.9411764705882353,0.9096875004470348,0.946875,0.75,0.9,0.7838871777057648,0.7839311361312866,0.6569412599312336,0.7210195804470629,1,1,1.0,8,1,0
S0-SM_barrel_10,barrel,ellow-radnear-az225,ellow-radmid-az090,ellow-radnear-az225 + ellow-radmid-az090,low,near,225,low,mid,90,1,0,135,0.23809523809523808,0.78125,0.36496350364963503,0.7289560841685578,1.0,0.465625,0.93125,0.46226105093955994,0.9245221018791199,0.43015351212232567,0.8603070242446513,1,1,1.0,25,80,7
S0-SM_barrel_10,barrel,ellow-radnear-az225,ellow-radfar-az000,ellow-radnear-az225 + ellow-radfar-az000,low,near,225,low,far,0,1,0,135,0.37894736842105264,0.8372093023255814,0.5217391304347826,0.6884735347397879,0.9190349011424601,0.8343750000000001,0.93125,0.8916909992694855,0.9245221018791199,0.7936879415593499,0.8603070242446513,1,1,1.0,36,59,7
S0-SM_barrel_10,barrel,ellow-radnear-az225,ellow-radfar-az180,ellow-radnear-az225 + ellow-radfar-az180,low,near,225,low,far,180,1,0,45,0.2642857142857143,0.7551020408163265,0.3915343915343915,0.49674401314349653,0.5355758579498773,0.8031250000000001,0.93125,0.8691539168357849,0.9245221018791199,0.7996491196156512,0.8603070242446513,1,1,1.0,37,103,12
S0-SM_barrel_10,barrel,ellow-radnear-az225,elmid-radmid-az000,ellow-radnear-az225 + elmid-radmid-az000,low,near,225,mid,mid,0,0,0,135,0.3829787234042553,0.8372093023255814,0.5255474452554745,0.6961909349563131,0.9344697015755103,0.853125,0.93125,0.8801507651805878,0.9245221018791199,0.7761003919201546,0.8603070242446513,1,1,1.0,36,58,7
S0-SM_barrel_10,barrel,ellow-radnear-az225,elmid-radmid-az180,ellow-radnear-az225 + elmid-radmid-az180,low,near,225,mid,mid,180,0,0,45,0.2818181818181818,0.8157894736842105,0.4189189189189189,0.609568336593124,0.7612245048491323,0.665625,0.93125,0.8797957599163055,0.9245221018791199,0.7199225527673239,0.8603070242446513,1,1,1.0,31,79,7
S0-SM_barrel_10,barrel,ellow-radnear-az225,elmid-radfar-az225,ellow-radnear-az225 + elmid-radfar-az225,low,near,225,mid,far,225,0,0,0,0.30701754385964913,0.7954545454545454,0.4430379746835443,0.5890521229193678,0.7201920775016198,0.848958333581686,0.93125,0.8828878700733185,0.9245221018791199,0.7871413683739252,0.8603070242446513,1,1,1.0,35,79,9
S0-SM_barrel_10,barrel,ellow-radnear-az225,elmid-radfar-az270,ellow-radnear-az225 + elmid-radfar-az270,low,near,225,mid,far,270,0,0,45,0.35353535353535354,0.8333333333333334,0.49645390070921985,0.6878464630909811,0.9177807578448464,0.7822916671633721,0.93125,0.8816841244697571,0.9245221018791199,0.7905420168666186,0.8603070242446513,1,1,1.0,35,64,7
S0-SM_barrel_10,barrel,ellow-radnear-az225,elhigh-radnear-az090,ellow-radnear-az225 + elhigh-radnear-az090,low,near,225,high,near,90,0,1,135,0.35106382978723405,0.825,0.4925373134328358,0.6933343919322619,0.9287566155274078,0.8656250000000001,0.93125,0.8937437534332275,0.9245221018791199,0.7980107338650235,0.8603070242446513,1,1,1.0,33,61,7
S0-SM_barrel_10,barrel,ellow-radmid-az090,ellow-radfar-az000,ellow-radmid-az090 + ellow-radfar-az000,low,mid,90,low,far,0,1,0,90,0.3611111111111111,1.0,0.5306122448979592,0.9595174505712301,1.0,0.36875,0.7375,0.42942994832992554,0.8588598966598511,0.3635344294370242,0.7270688588740484,1,1,1.0,13,23,0
S0-SM_barrel_10,barrel,ellow-radmid-az090,ellow-radfar-az180,ellow-radmid-az090 + ellow-radfar-az180,low,mid,90,low,far,180,1,0,90,0.1728395061728395,0.7368421052631579,0.28,0.7677879289749386,1.0,0.3375,0.675,0.406892865896225,0.81378573179245,0.36949560749332555,0.7389912149866511,1,1,1.0,14,67,5
S0-SM_barrel_10,barrel,ellow-radmid-az090,elmid-radmid-az000,ellow-radmid-az090 + elmid-radmid-az000,low,mid,90,mid,mid,0,0,1,90,0.37142857142857144,1.0,0.5416666666666666,0.9672348507877552,1.0,0.3875,0.775,0.41788971424102783,0.8357794284820557,0.3459468797978289,0.6918937595956578,1,1,1.0,13,22,0
S0-SM_barrel_10,barrel,ellow-radmid-az090,elmid-radmid-az180,ellow-radmid-az090 + elmid-radmid-az180,low,mid,90,mid,mid,180,0,1,90,0.1568627450980392,1.0,0.2711864406779661,0.8806122524245661,1.0,0.2,0.4,0.4175347089767456,0.8350694179534912,0.2897690406449982,0.5795380812899964,1,1,1.0,8,43,0
S0-SM_barrel_10,barrel,ellow-radmid-az090,elmid-radfar-az225,ellow-radmid-az090 + elmid-radfar-az225,low,mid,90,mid,far,225,0,0,135,0.21818181818181817,0.8571428571428571,0.34782608695652173,0.8600960387508099,1.0,0.38333333358168603,0.7666666671633721,0.42062681913375854,0.8412536382675171,0.35698785625159957,0.7139757125031991,1,1,1.0,12,43,2
S0-SM_barrel_10,barrel,ellow-radmid-az090,elmid-radfar-az270,ellow-radmid-az090 + elmid-radfar-az270,low,mid,90,mid,far,270,0,0,180,0.3,1.0,0.46153846153846156,0.9588903789224232,1.0,0.31666666716337205,0.6333333343267441,0.41942307353019714,0.8388461470603943,0.36038850474429296,0.7207770094885859,1,1,1.0,12,28,0
S0-SM_barrel_10,barrel,ellow-radmid-az090,elhigh-radnear-az090,ellow-radmid-az090 + elhigh-radnear-az090,low,mid,90,high,near,90,0,0,0,0.2857142857142857,1.0,0.4444444444444444,0.9643783077637039,1.0,0.4,0.8,0.4314827024936676,0.8629654049873352,0.36785722174269786,0.7357144434853957,1,1,1.0,10,25,0
S0-SM_barrel_10,barrel,ellow-radfar-az000,ellow-radfar-az180,ellow-radfar-az000 + ellow-radfar-az180,low,far,0,low,far,180,1,1,180,0.352112676056338,0.8333333333333334,0.49504950495049505,0.7273053795461687,0.9190349011424601,0.70625,0.7375,0.8363228142261505,0.8588598966598511,0.7330300369303497,0.7389912149866511,1,1,1.0,25,46,5
S0-SM_barrel_10,barrel,ellow-radfar-az000,elmid-radmid-az000,ellow-radfar-az000 + elmid-radmid-az000,low,far,0,mid,mid,0,0,0,0,0.96,1.0,0.9795918367346939,0.9267523013589852,0.9344697015755103,0.7562500000000001,0.775,0.8473196625709534,0.8588598966598511,0.7094813092348531,0.7270688588740484,1,1,1.0,24,1,0
S0-SM_barrel_10,barrel,ellow-radfar-az000,elmid-radmid-az180,ellow-radfar-az000 + elmid-radmid-az180,low,far,0,mid,mid,180,0,0,180,0.4634146341463415,1.0,0.6333333333333333,0.8401297029957961,0.9190349011424601,0.5687500000000001,0.7375,0.8469646573066711,0.8588598966598511,0.6533034700820224,0.7270688588740484,1,1,1.0,19,22,0
S0-SM_barrel_10,barrel,ellow-radfar-az000,elmid-radfar-az225,ellow-radfar-az000 + elmid-radfar-az225,low,far,0,mid,far,225,0,1,135,0.5111111111111111,0.92,0.6571428571428571,0.8196134893220399,0.9190349011424601,0.7520833335816861,0.7666666671633721,0.8500567674636841,0.8588598966598511,0.7205222856886238,0.7270688588740484,1,1,1.0,23,22,2
S0-SM_barrel_10,barrel,ellow-radfar-az000,elmid-radfar-az270,ellow-radfar-az000 + elmid-radfar-az270,low,far,0,mid,far,270,0,1,90,0.7666666666666667,1.0,0.8679245283018868,0.9184078294936533,0.9190349011424601,0.6854166671633721,0.7375,0.8488530218601227,0.8588598966598511,0.7239229341813171,0.7270688588740484,1,1,1.0,23,7,0
S0-SM_barrel_10,barrel,ellow-radfar-az000,elhigh-radnear-az090,ellow-radfar-az000 + elhigh-radnear-az090,low,far,0,high,near,90,0,0,90,0.84,1.0,0.9130434782608695,0.923895758334934,0.9287566155274078,0.76875,0.8,0.8609126508235931,0.8629654049873352,0.731391651179722,0.7357144434853957,1,1,1.0,21,4,0
S0-SM_barrel_10,barrel,ellow-radfar-az180,elmid-radmid-az000,ellow-radfar-az180 + elmid-radmid-az000,low,far,180,mid,mid,0,0,0,180,0.35714285714285715,0.8333333333333334,0.5,0.7350227797626938,0.9344697015755103,0.7250000000000001,0.775,0.8247825801372528,0.8357794284820557,0.7154424872911544,0.7389912149866511,1,1,1.0,25,45,5
S0-SM_barrel_10,barrel,ellow-radfar-az180,elmid-radmid-az180,ellow-radfar-az180 + elmid-radmid-az180,low,far,180,mid,mid,180,0,0,0,0.23255813953488372,0.8,0.36036036036036034,0.6484001813995048,0.7612245048491323,0.5375000000000001,0.675,0.8244275748729706,0.8350694179534912,0.6592646481383238,0.7389912149866511,1,1,1.0,20,66,5
S0-SM_barrel_10,barrel,ellow-radfar-az180,elmid-radfar-az225,ellow-radfar-az180 + elmid-radfar-az225,low,far,180,mid,far,225,0,1,45,0.26666666666666666,0.7741935483870968,0.39669421487603307,0.6278839677257486,0.7201920775016198,0.7208333335816861,0.7666666671633721,0.8275196850299835,0.8412536382675171,0.7264834637449251,0.7389912149866511,1,1,1.0,24,66,7
S0-SM_barrel_10,barrel,ellow-radfar-az180,elmid-radfar-az270,ellow-radfar-az180 + elmid-radfar-az270,low,far,180,mid,far,270,0,1,90,0.32,0.8275862068965517,0.46153846153846156,0.7266783078973618,0.9177807578448464,0.6541666671633721,0.675,0.8263159394264221,0.8388461470603943,0.7298841122376185,0.7389912149866511,1,1,1.0,24,51,5
S0-SM_barrel_10,barrel,ellow-radfar-az180,elhigh-radnear-az090,ellow-radfar-az180 + elhigh-radnear-az090,low,far,180,high,near,90,0,0,90,0.3142857142857143,0.8148148148148148,0.4536082474226804,0.7321662367386426,0.9287566155274078,0.7375,0.8,0.8383755683898926,0.8629654049873352,0.7373528292360234,0.7389912149866511,1,1,1.0,22,48,5
S0-SM_barrel_10,barrel,elmid-radmid-az000,elmid-radmid-az180,elmid-radmid-az000 + elmid-radmid-az180,mid,mid,0,mid,mid,180,1,1,180,0.475,1.0,0.6440677966101694,0.8478471032123214,0.9344697015755103,0.5875,0.775,0.8354244232177734,0.8357794284820557,0.6357159204428271,0.6918937595956578,1,1,1.0,19,21,0
