image,precision,recall,f1,ap50,ap50_95,tp,fp,fn,num_gt,num_pred
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-elmid-radmid-az090.png,0.5833333333333334,1.0,0.7368421052631579,1.0,0.9007142888115987,7.0,5.0,0.0,7.0,12.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-elmid-radnear-az045.png,0.5,1.0,0.6666666666666666,1.0,0.959375,4.0,4.0,0.0,4.0,8.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_17-elmid-radnear-az225.png,0.75,1.0,0.8571428571428571,1.0,0.9416666675359011,6.0,2.0,0.0,6.0,8.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-elhigh-radfar-az135.png,0.15,1.0,0.2608695652173913,1.0,0.936666670491298,3.0,17.0,0.0,3.0,20.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-elhigh-radfar-az225.png,0.5,1.0,0.6666666666666666,1.0,0.7560000071823597,5.0,5.0,0.0,5.0,10.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-elhigh-radmid-az135.png,0.375,0.75,0.5,0.796875,0.7265625,3.0,5.0,1.0,4.0,8.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-ellow-radfar-az000.png,0.17721518987341772,0.56,0.2692307692307692,0.5419167318989118,0.25949438334455316,14.0,65.0,11.0,25.0,79.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-ellow-radmid-az225.png,0.25806451612903225,0.8,0.3902439024390244,0.8158064594384165,0.5993655857529532,16.0,46.0,4.0,20.0,62.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-ellow-radnear-az225.png,0.22058823529411764,0.75,0.3409090909090909,0.7193811069268179,0.5200505195973864,15.0,53.0,5.0,20.0,68.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-elmid-radmid-az270.png,0.8,0.8,0.8000000000000002,0.8800000083446502,0.7600000101327895,4.0,1.0,1.0,5.0,5.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-elmid-radmid-az315.png,0.6666666666666666,1.0,0.8,1.0,0.8812500001862645,4.0,2.0,0.0,4.0,6.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_18-elmid-radnear-az135.png,0.17391304347826086,1.0,0.29629629629629634,1.0,0.9121376821771264,4.0,19.0,0.0,4.0,23.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-elhigh-radfar-az090.png,0.2631578947368421,1.0,0.4166666666666667,1.0,0.9044210583316652,5.0,14.0,0.0,5.0,19.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-elhigh-radfar-az315.png,0.4,1.0,0.5714285714285715,1.0,0.8733333380023639,6.0,9.0,0.0,6.0,15.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-elhigh-radnear-az270.png,0.5714285714285714,1.0,0.7272727272727273,1.0,0.827142858505249,4.0,3.0,0.0,4.0,7.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-ellow-radfar-az000.png,0.22857142857142856,0.5161290322580645,0.31683168316831684,0.5149101839244761,0.23040443864085175,16.0,54.0,15.0,31.0,70.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-ellow-radfar-az045.png,0.1388888888888889,0.9090909090909091,0.24096385542168675,0.7539592394828372,0.3750644932923138,10.0,62.0,1.0,11.0,72.0
/vol/tensusers6/lisannehuisman/data/images/test/S0-SM_barrel_19-ellow-radfar-az270.png,0.3230769230769231,0.9545454545454546,0.4827586206896552,0.916514591005515,0.6515587173776425,21.0,44.0,1.0,22.0,65.0
