viewpoint,single_map50_95,single_map50,single_f1,mean_pair_map50_95_when_included,best_pair_map50_95_when_included,mean_lift_when_paired,best_lift_when_paired,completed_pair_count
elhigh-radnear-az180,0.3395650145085634,0.5129626286632578,0.5501991642992179,0.41012028191662114,0.47543050051291796,0.07055526740805773,0.13586548600435455,71
elhigh-radnear-az225,0.3440784937220457,0.5208528468189019,0.5524375429948609,0.41292859669191345,0.48791205368000184,0.06885010296986775,0.14383355995795616,69
elhigh-radnear-az270,0.3216859159930162,0.5045626543802598,0.5453573532846899,0.4067871079476387,0.4720955460421542,0.08510119195462251,0.150409630049138,68
elhigh-radnear-az315,0.3361849875189326,0.5187444862921731,0.5536934178740667,0.4055461209938804,0.47701918997458376,0.06936113347494777,0.14083420245565115,71
elhigh-radmid-az000,0.3459669579749205,0.523215057368734,0.5521332641319208,0.41389183271186547,0.4855965634456038,0.06792487473694495,0.13962960547068332,71
elhigh-radmid-az045,0.35969234721512794,0.5429722739694822,0.5744327778103976,0.4172024589369402,0.4852595458541855,0.05751011172181228,0.12556719863905758,70
elhigh-radmid-az090,0.3545783681398182,0.5391430150493923,0.5726671818627052,0.4160282211080389,0.4825738629501512,0.061449852968220725,0.127995494810333,67
elhigh-radmid-az135,0.3434079473811069,0.5272050065917201,0.56208113904365,0.41377922023881347,0.4856975983198173,0.0703712728577065,0.14228965093871038,70
elhigh-radmid-az180,0.35560303382831304,0.5396627867906025,0.571739884714843,0.41730847525053427,0.48322620714892883,0.0617054414222212,0.1276231733206158,69
elhigh-radmid-az225,0.33765850732244423,0.515418613017117,0.5548094117009124,0.4165308921214368,0.4878931344524266,0.07887238479899257,0.15023462712998237,69
elhigh-radmid-az270,0.33467761382312017,0.5188890929578447,0.5592187235580641,0.4111446857122458,0.47974287496765305,0.07646707188912567,0.1450652611445329,70
elhigh-radmid-az315,0.3357774895562401,0.5259953079870978,0.5572819438535017,0.40980732178238954,0.4742385707837607,0.07402983222614942,0.1384610812275206,70
elhigh-radfar-az000,0.33999633482078295,0.5264800062752774,0.5638424649264075,0.4157943520115458,0.48477591028920647,0.07579801719076286,0.14477957546842352,69
elhigh-radfar-az045,0.3517406582248309,0.5408103731760517,0.5768865487913096,0.4222432878052674,0.492081240087054,0.07050262958043647,0.1403405818622231,70
elhigh-radfar-az090,0.33715840306367034,0.519064827961629,0.5591520669320794,0.41681603439491566,0.48486118420912894,0.07965763133124529,0.1477027811454586,69
elhigh-radfar-az135,0.35443982782283306,0.5425796098153397,0.5795757153286191,0.4147847317014156,0.47957102101036747,0.06034490387858253,0.1251311931875344,69
elhigh-radfar-az180,0.3435612602938729,0.5365448879570109,0.5734216449076167,0.41969671071939113,0.48403014560334595,0.07613545042551824,0.14046888530947305,70
elhigh-radfar-az225,0.3330930922222578,0.5205621967076038,0.5632280024898625,0.4195986224320554,0.48919904446075463,0.08650553020979763,0.15610595223849683,71
elhigh-radfar-az270,0.3342499000230558,0.5236117966270561,0.5651078822406329,0.41156667570896754,0.4788415666373387,0.07731677568591168,0.14459166661428285,70
elhigh-radfar-az315,0.3370014455332844,0.5283080129653381,0.5676793648933084,0.41230574770785866,0.47184229685092416,0.07530430217457426,0.13484085131763973,70
